estacion,hora,dia_semana,q_cafes_llevar,q_cafes_local
Dialogos,20,4,22.0000,56.0000
Zarate Brazo Largo,6,5,253.0000,203.0000
San Isidro,23,5,9.0000,66.0000
Santa Rita,19,6,56.0000,163.0000
Alsina,5,7,72.0000,104.0000
Gutierrez,9,7,216.0000,312.0000
La Bandera,10,7,126.0000,534.0000
Santa Rita,16,7,68.0000,154.0000
America,17,7,44.0000,230.0000
AUBASA BA-LP,10,1,731.0000,1002.0000
Arroyo Seco,14,1,896.0000,860.0000
Gral Paz Capital,14,1,106.0000,146.0000
America,18,1,37.0000,227.0000
Zarate Brazo Largo,22,1,55.0000,35.0000
Gral Paz Provincia,8,2,660.0000,791.0000
Zarate Brazo Largo,8,2,331.0000,433.0000
Del Tejar,13,3,47.0000,177.0000
Alvear,18,3,177.0000,691.0000
Pilar,21,3,16.0000,33.0000
Los Incas,22,3,8.0000,1.0000
Amanecer,22,4,15.0000,84.0000
Centenera,5,6,49.0000,22.0000
Zarate,15,6,34.0000,37.0000
Maschwitz,3,7,10.0000,
Las Heras,14,7,46.0000,97.0000
Gutierrez,18,1,99.0000,226.0000
Villa Luro,22,1,27.0000,113.0000
America,9,2,136.0000,396.0000
Congreso,14,2,42.0000,144.0000
Santa Fe,7,3,115.0000,45.0000
Maipu,12,3,36.0000,163.0000
Zarate,18,3,53.0000,37.0000
Floresta,11,5,66.0000,168.0000
Emilio Castro,23,6,23.0000,19.0000
Centenera,5,7,61.0000,26.0000
Villa Luro,0,4,44.0000,130.0000
Alvear,5,4,162.0000,314.0000
Congreso,5,4,85.0000,32.0000
Trelles,16,4,47.0000,130.0000
Rivadavia,16,5,5.0000,
Alberdi,3,1,15.0000,
Santa Rita,23,1,9.0000,31.0000
Cabildo,22,7,16.0000,9.0000
Olivos,19,1,47.0000,136.0000
Emilio Castro,8,3,273.0000,180.0000
Cabildo,1,5,7.0000,24.0000
CORS EVENTOS,18,1,10.0000,
Mitre,1,4,,
Lima,8,4,1453.0000,1626.0000
Santa Fe,21,4,1.0000,2.0000
Arroyo Seco,10,5,1527.0000,2064.0000
Bulnes,22,5,,
America,5,6,75.0000,77.0000
Villa Allende,8,6,248.0000,490.0000
Gral Paz Provincia,8,6,829.0000,947.0000
Trelles,11,6,69.0000,151.0000
Dialogos,10,7,130.0000,209.0000
Las Heras,15,7,34.0000,81.0000
Fisherton,15,7,27.0000,263.0000
Garay,5,1,78.0000,111.0000
Garay,7,1,93.0000,162.0000
Bonpland,8,1,117.0000,273.0000
Gutierrez,14,1,29.0000,81.0000
Gutierrez,17,1,107.0000,191.0000
Congreso,22,1,45.0000,54.0000
Arroyo Seco,12,2,593.0000,868.0000
Laferrere,12,2,13.0000,69.0000
Boulevard,17,2,57.0000,361.0000
Luis Viale,12,3,35.0000,205.0000
Lima,20,3,306.0000,304.0000
Quilmes,22,3,7.0000,42.0000
AUBASA BA-LP,2,4,73.0000,65.0000
Bonpland,15,4,76.0000,310.0000
Florencio Varela,21,4,23.0000,45.0000
Santa Rita,23,4,19.0000,26.0000
Gutierrez,3,5,41.0000,37.0000
La Carmela,5,5,135.0000,147.0000
Pilar,7,5,286.0000,217.0000
Zarate,9,5,202.0000,99.0000
Amanecer,11,5,156.0000,262.0000
Laferrere,15,5,24.0000,65.0000
Santa Fe,17,5,20.0000,32.0000
Ovidio Lagos,7,6,99.0000,326.0000
Zarate,0,7,31.0000,14.0000
Maipu,2,1,56.0000,124.0000
Floresta,7,1,75.0000,156.0000
Anchorena,15,2,,
Bonpland,23,2,44.0000,91.0000
Santa Fe,10,3,75.0000,76.0000
Zarate,11,3,57.0000,109.0000
Santa Rita,14,5,34.0000,194.0000
Maipu,21,6,27.0000,47.0000
Emilio Castro,1,3,23.0000,15.0000
Maipu,15,3,39.0000,168.0000
Quilmes,0,5,17.0000,56.0000
Olivos,22,1,10.0000,35.0000
AUBASA LP-BA,2,2,128.0000,42.0000
Anchorena,13,4,,
Maschwitz,4,6,19.0000,
Bonpland,4,7,83.0000,213.0000
Garay,1,4,21.0000,35.0000
Bulnes,2,4,,
Olivos,6,7,108.0000,86.0000
Fisherton,3,3,43.0000,23.0000
CORS Alem,16,6,164.0000,
Quilmes,3,6,17.0000,36.0000
Bulnes,4,5,,
Rivadavia,4,2,2.0000,
Olivos,4,2,38.0000,14.0000
OPERADOR LOGISTICO 2,7,1,,9744.0000
La Bandera,8,4,162.0000,563.0000
Santa Rita,21,4,22.0000,42.0000
Alsina,21,4,31.0000,95.0000
Villa Allende,6,5,81.0000,136.0000
Dialogos,13,5,23.0000,96.0000
Alvear,13,5,75.0000,427.0000
Pilar,20,6,30.0000,65.0000
Maipu,0,7,74.0000,86.0000
San Isidro,2,7,47.0000,64.0000
Maschwitz,7,1,83.0000,1.0000
Los Incas,17,1,39.0000,1.0000
Santa Rita,3,2,19.0000,46.0000
La Bandera,16,2,33.0000,448.0000
Maschwitz,21,2,9.0000,
Maipu,0,3,35.0000,34.0000
Garay,12,3,75.0000,250.0000
Alsina,15,3,55.0000,187.0000
Santa Rita,15,3,67.0000,276.0000
Emilio Castro,5,4,86.0000,121.0000
AUBASA BA-LP,5,7,332.0000,198.0000
Maschwitz,13,7,21.0000,
Laferrere,1,2,16.0000,66.0000
Congreso,11,3,123.0000,265.0000
Ovidio Lagos,16,3,16.0000,262.0000
Bulnes,3,6,,
Olivos,23,3,16.0000,54.0000
Villa Luro,6,5,206.0000,328.0000
Alsina,12,5,67.0000,195.0000
San Isidro,22,3,13.0000,65.0000
Emilio Castro,23,3,36.0000,18.0000
Zarate Brazo Largo,22,5,56.0000,25.0000
Santa Fe,22,2,,
Floresta,0,2,20.0000,37.0000
Bulnes,1,6,,
Anchorena,5,6,,
Lima,14,4,445.0000,471.0000
Parque Sarmiento,15,4,48.0000,231.0000
Bulnes,19,4,16.0000,165.0000
El Club,21,4,37.0000,141.0000
Luis Viale,18,5,113.0000,341.0000
Zarate,19,5,33.0000,32.0000
Rosario Sur,14,6,11.0000,
Ovidio Lagos,1,7,35.0000,82.0000
El Arco,6,7,178.0000,151.0000
Arroyo Seco,9,7,2077.0000,3124.0000
Zarate,10,7,131.0000,69.0000
Luis Viale,8,1,61.0000,122.0000
Bonpland,11,1,106.0000,276.0000
Quilmes,17,1,51.0000,144.0000
Congreso,10,2,169.0000,338.0000
Maschwitz,10,2,60.0000,
Arroyo Seco,11,2,1002.0000,1357.0000
Buen Ayre,18,2,497.0000,965.0000
Pilar,19,2,39.0000,104.0000
Garay,20,2,43.0000,136.0000
San Isidro,12,3,90.0000,301.0000
Alsina,18,3,63.0000,143.0000
Pilar,15,4,50.0000,173.0000
Amanecer,23,4,17.0000,94.0000
Congreso,3,5,44.0000,18.0000
Los Incas,9,5,149.0000,13.0000
Villa Luro,12,6,88.0000,290.0000
San Isidro,17,6,108.0000,417.0000
Alsina,8,7,130.0000,153.0000
Pilar,13,7,32.0000,68.0000
Santa Fe,15,1,18.0000,8.0000
Lima,23,1,452.0000,247.0000
Maipu,8,2,65.0000,179.0000
Maschwitz,15,2,21.0000,1.0000
AUBASA LP-BA,17,2,457.0000,658.0000
America,21,4,14.0000,62.0000
