estacion,hora,dia_semana,q_cafes_llevar_mas_1
Zarate Brazo Largo,6,5,107.0000
Alvear,18,3,59.0000
Gral Paz Provincia,8,2,161.0000
Alvear,5,4,49.0000
AUBASA BA-LP,10,1,424.0000
La Bandera,10,7,55.0000
Zarate,18,3,28.0000
Alberdi,3,1,4.0000
Arroyo Seco,14,1,427.0000
Zarate Brazo Largo,8,2,122.0000
Gutierrez,9,7,77.0000
Las Heras,14,7,8.0000
Dialogos,20,4,13.0000
OPERADOR LOGISTICO 2,17,2,
Zarate Brazo Largo,22,1,30.0000
Santa Rita,19,6,19.0000
Centenera,5,6,10.0000
America,17,7,16.0000
Arroyo Seco,10,5,766.0000
Arroyo Seco,12,2,237.0000
Bonpland,8,1,33.0000
Bonpland,23,2,9.0000
Lima,8,4,690.0000
Lima,20,3,134.0000
Pilar,7,5,96.0000
Boulevard,17,2,26.0000
Amanecer,11,5,39.0000
Gutierrez,17,1,50.0000
Gral Paz Provincia,8,6,251.0000
Floresta,7,1,32.0000
AUBASA BA-LP,2,4,27.0000
Dialogos,10,7,46.0000
Maipu,2,1,23.0000
Trelles,11,6,12.0000
La Carmela,5,5,37.0000
La Bandera,16,2,8.0000
Alsina,12,5,12.0000
Congreso,11,3,34.0000
Garay,12,3,19.0000
AUBASA BA-LP,5,7,189.0000
San Isidro,2,7,13.0000
Pilar,20,6,11.0000
La Bandera,8,4,28.0000
Alvear,13,5,12.0000
Arroyo Seco,11,2,473.0000
Arroyo Seco,9,7,1220.0000
Pilar,13,7,9.0000
Lima,14,4,168.0000
Lima,9,6,645.0000
Buen Ayre,18,2,191.0000
Ovidio Lagos,15,2,
Lima,23,1,230.0000
Zarate,19,5,14.0000
San Isidro,12,3,10.0000
El Arco,6,7,54.0000
Bulnes,19,4,4.0000
America,21,4,
Quilmes,1,6,8.0000
Buen Ayre,17,5,229.0000
Gral Paz Provincia,15,1,62.0000
Zarate Brazo Largo,14,4,11.0000
Zarate Brazo Largo,2,3,8.0000
Olivos,16,1,20.0000
Florencio Varela,0,1,31.0000
Fisherton,7,6,102.0000
AUBASA BA-LP,1,2,69.0000
El Club,19,2,35.0000
AUBASA LP-BA,16,2,131.0000
Bulnes,18,5,27.0000
Santa Fe,10,2,26.0000
Parque Sarmiento,4,4,2.0000
Lima,11,2,319.0000
Bonpland,5,2,22.0000
Zarate,18,1,47.0000
Dialogos,9,2,19.0000
El Club,2,4,6.0000
Lima,18,5,482.0000
Ovidio Lagos,16,7,13.0000
Emilio Castro,20,1,4.0000
Fisherton,13,5,6.0000
Zarate,6,3,52.0000
Florencio Varela,10,1,37.0000
Del Tejar,11,3,9.0000
Alsina,8,3,16.0000
Laferrere,11,7,17.0000
Arroyo Seco,15,5,381.0000
Bonpland,3,7,27.0000
Pilar,12,7,13.0000
Garay,10,6,45.0000
Villa Luro,0,7,27.0000
Amanecer,9,2,50.0000
AUBASA BA-LP,22,6,48.0000
Floresta,19,3,6.0000
Alvear,12,4,24.0000
CORS EVENTOS,16,6,6.0000
Buen Ayre,10,7,426.0000
Alsina,2,4,6.0000
Villa Allende,7,6,39.0000
Luis Viale,14,7,8.0000
Floresta,17,3,20.0000
Santa Rita,11,1,19.0000
Laferrere,18,7,6.0000
CORS Alem,12,7,42.0000
Congreso,5,1,18.0000
El Arco,1,4,15.0000
Pilar,21,5,5.0000
Centenera,6,6,49.0000
AUBASA LP-BA,9,4,322.0000
Arroyo Seco,11,7,683.0000
Centenera,15,7,12.0000
Alvear,2,7,26.0000
Alvear,1,7,22.0000
Arroyo Seco,21,2,132.0000
Gral Paz Capital,15,2,58.0000
Villa Luro,10,3,50.0000
Villa Allende,22,7,
Parque Sarmiento,8,7,55.0000
Los Incas,7,7,27.0000
Del Tejar,17,4,20.0000
America,13,4,4.0000
Santa Rita,14,7,22.0000
Amanecer,8,7,115.0000
Gral Paz Capital,0,1,52.0000
AUBASA BA-LP,17,7,162.0000
Pilar,4,3,15.0000
Villa Allende,10,4,30.0000
Bonpland,15,7,9.0000
Arroyo Seco,2,5,138.0000
Dialogos,15,3,68.0000
AUBASA BA-LP,16,1,150.0000
Villa Luro,9,4,63.0000
Ovidio Lagos,17,2,8.0000
Ovidio Lagos,8,6,28.0000
Dialogos,0,6,18.0000
Gutierrez,15,7,22.0000
Gral Paz Provincia,16,2,68.0000
El Club,19,6,37.0000
Buen Ayre,13,2,64.0000
AUBASA BA-LP,17,5,238.0000
Quilmes,16,4,7.0000
Gral Paz Capital,16,5,64.0000
AUBASA BA-LP,7,6,485.0000
Dialogos,11,4,19.0000
America,12,7,11.0000
Parque Sarmiento,7,6,39.0000
Gral Paz Provincia,6,6,181.0000
CORS Alem,10,5,77.0000
Del Tejar,6,3,20.0000
Florencio Varela,15,2,10.0000
La Bandera,13,2,10.0000
Dialogos,5,7,22.0000
Laferrere,11,2,16.0000
Arroyo Seco,16,1,935.0000
El Arco,9,2,64.0000
CORS EVENTOS,19,6,69.0000
Arroyo Seco,18,3,486.0000
AUBASA LP-BA,6,6,167.0000
AUBASA BA-LP,9,4,365.0000
AUBASA BA-LP,18,5,279.0000
Congreso,9,2,49.0000
El Club,18,3,107.0000
Villa Luro,4,6,10.0000
Gral Paz Provincia,19,7,98.0000
Florencio Varela,6,2,19.0000
Villa Luro,21,1,8.0000
Congreso,13,2,4.0000
Las Heras,11,7,21.0000
Lima,17,7,480.0000
Alvear,5,5,67.0000
Amanecer,11,4,12.0000
El Arco,11,3,34.0000
Emilio Castro,7,5,41.0000
Las Heras,7,5,31.0000
America,17,3,15.0000
Lima,4,3,121.0000
El Club,14,6,42.0000
La Bandera,9,4,33.0000
El Club,17,5,61.0000
Buen Ayre,21,1,45.0000
Buen Ayre,11,1,294.0000
Zarate,7,5,83.0000
Buen Ayre,5,7,149.0000
El Arco,10,4,65.0000
Villa Allende,13,3,3.0000
Buen Ayre,22,3,15.0000
El Arco,18,1,44.0000
Trelles,9,6,17.0000
Olivos,7,6,56.0000
Florencio Varela,9,6,87.0000
Ovidio Lagos,1,1,13.0000
Gral Paz Capital,19,7,83.0000
Santa Rita,7,2,39.0000
Floresta,2,1,9.0000
Amanecer,14,2,12.0000
Emilio Castro,9,6,31.0000
Gutierrez,15,2,23.0000
Gutierrez,12,3,15.0000
Del Tejar,14,7,2.0000
Alvear,12,5,33.0000
Alvear,4,1,39.0000
Amanecer,10,5,63.0000
Congreso,16,7,36.0000
El Arco,9,4,48.0000
Quilmes,4,2,15.0000
Arroyo Seco,14,6,300.0000
Gral Paz Capital,9,3,243.0000
Gutierrez,21,6,6.0000
Trelles,21,6,13.0000
Villa Luro,17,3,68.0000
Gral Paz Provincia,18,3,92.0000
La Carmela,9,3,67.0000
Parque Sarmiento,10,7,52.0000
Luis Viale,10,1,22.0000
Bulnes,10,4,18.0000
Fisherton,19,7,6.0000
AUBASA LP-BA,15,4,73.0000
Alvear,15,4,25.0000
Centenera,18,5,26.0000
Arroyo Seco,9,5,1058.0000
Lima,13,3,135.0000
El Club,14,2,27.0000
Villa Allende,9,2,71.0000
Gral Paz Provincia,7,6,264.0000
Santa Fe,10,5,30.0000
El Club,21,1,12.0000
Arroyo Seco,18,2,678.0000
Pilar,17,2,28.0000
Quilmes,5,4,14.0000
Floresta,8,5,22.0000
Lima,13,2,155.0000
Lima,11,3,278.0000
Florencio Varela,6,1,73.0000
Arroyo Seco,17,3,559.0000
Gutierrez,10,4,35.0000
El Club,2,6,7.0000
Floresta,10,4,20.0000
CORS Alem,7,6,37.0000
Alvear,8,7,126.0000
Bonpland,7,6,79.0000
Lima,11,6,345.0000
Arroyo Seco,9,4,795.0000
El Club,6,5,64.0000
AUBASA LP-BA,20,7,86.0000
Trelles,1,6,8.0000
Ovidio Lagos,11,2,18.0000
Olivos,9,3,35.0000
Boulevard,19,2,29.0000
Luis Viale,9,3,19.0000
Gutierrez,18,5,20.0000
Pilar,21,3,4.0000
Congreso,14,2,6.0000
Gutierrez,18,1,54.0000
Villa Allende,8,6,80.0000
Luis Viale,12,3,6.0000
Garay,7,1,20.0000
CORS Alem,16,6,89.0000
Santa Rita,14,5,4.0000
Fisherton,15,7,9.0000
Gutierrez,3,5,2.0000
Zarate Brazo Largo,22,5,28.0000
Maipu,0,7,31.0000
Ovidio Lagos,16,3,2.0000
Gutierrez,8,4,85.0000
Alsina,18,3,17.0000
Amanecer,23,4,6.0000
Alvear,6,7,69.0000
AUBASA LP-BA,17,2,199.0000
San Isidro,17,6,29.0000
Bonpland,11,5,42.0000
Gral Paz Capital,10,7,314.0000
Quilmes,7,2,70.0000
Garay,19,6,18.0000
Pilar,16,1,16.0000
Trelles,15,1,4.0000
La Carmela,6,5,59.0000
Parque Sarmiento,18,3,26.0000
Buen Ayre,19,3,114.0000
Santa Rita,17,4,27.0000
Laferrere,14,3,10.0000
Gutierrez,16,5,6.0000
Luis Viale,8,5,24.0000
Emilio Castro,0,5,7.0000
Santa Rita,11,2,9.0000
Luis Viale,18,7,12.0000
Luis Viale,12,6,7.0000
Zarate Brazo Largo,3,3,14.0000
El Arco,23,2,13.0000
America,12,1,16.0000
Garay,17,6,22.0000
Boulevard,12,1,37.0000
Alvear,10,1,141.0000
Arroyo Seco,22,5,105.0000
Gutierrez,5,3,34.0000
Boulevard,6,1,18.0000
Florencio Varela,0,5,11.0000
Del Tejar,2,6,18.0000
Laferrere,19,4,8.0000
La Bandera,12,5,12.0000
Zarate Brazo Largo,21,2,16.0000
Laferrere,22,7,4.0000
Los Incas,11,6,14.0000
Alvear,2,1,37.0000
Villa Luro,7,3,48.0000
Santa Rita,10,4,16.0000
Floresta,16,5,28.0000
Parque Sarmiento,0,5,4.0000
El Arco,15,7,10.0000
Villa Luro,18,6,28.0000
Congreso,5,6,27.0000
Las Heras,17,7,41.0000
Parque Sarmiento,10,5,38.0000
El Club,14,5,32.0000
Laferrere,9,6,24.0000
AUBASA LP-BA,4,4,58.0000
Dialogos,11,1,39.0000
Ovidio Lagos,18,4,9.0000
AUBASA BA-LP,21,4,33.0000
Centenera,7,1,21.0000
Pilar,20,3,8.0000
Del Tejar,16,1,13.0000
La Bandera,8,6,30.0000
Emilio Castro,12,6,6.0000
Laferrere,5,5,10.0000
La Carmela,22,3,6.0000
Del Tejar,3,1,12.0000
Zarate,8,2,77.0000
America,20,6,2.0000
