estacion,hora,q_cafes_llevar_algo_leche_sinbakery_sinsandwiches_caramelos,q_cafes_llevar_algo_otros_sinbakery_sinsandwiches_caramelos,q_cafes_local_algo_leche_sinbakery_sinsandwiches_caramelos,q_cafes_local_algo_otros_sinbakery_sinsandwiches_caramelos
Cabildo,20,3.0000,8.0000,1.0000,7.0000
Disc Panamericana,16,2.0000,2.0000,null,4.0000
Olivos,0,61.0000,18.0000,2.0000,56.0000
Santa Rita,16,4.0000,82.0000,null,249.0000
Amanecer,23,5.0000,27.0000,null,70.0000
Parque Sarmiento,12,51.0000,24.0000,7.0000,97.0000
Amanecer,2,3.0000,14.0000,null,28.0000
Las Heras,2,6.0000,10.0000,2.0000,12.0000
Florencio Varela,13,7.0000,11.0000,27.0000,38.0000
San Isidro,3,2.0000,8.0000,3.0000,11.0000
Gral Paz Capital,23,54.0000,15.0000,null,101.0000
Lima,19,143.0000,376.0000,21.0000,280.0000
Centenera,12,5.0000,11.0000,null,10.0000
Amanecer,7,14.0000,30.0000,null,13.0000
Lima,17,251.0000,588.0000,49.0000,478.0000
Gral Paz Provincia,9,37.0000,56.0000,6.0000,49.0000
San Isidro,13,20.0000,33.0000,8.0000,113.0000
Santa Rita,19,1.0000,66.0000,null,165.0000
San Isidro,20,10.0000,22.0000,8.0000,67.0000
Bonpland,14,17.0000,32.0000,8.0000,98.0000
Maipu,17,21.0000,13.0000,11.0000,56.0000
Boulevard,7,6.0000,32.0000,3.0000,13.0000
Villa Luro,11,43.0000,61.0000,10.0000,81.0000
Zarate Brazo Largo,14,24.0000,8.0000,1.0000,38.0000
DISC Caraffa,9,2.0000,5.0000,2.0000,12.0000
Amanecer,10,27.0000,42.0000,null,47.0000
Santa Fe,15,6.0000,19.0000,null,10.0000
Lima,8,105.0000,147.0000,14.0000,117.0000
Alberdi,1,null,null,null,10.0000
Gral Paz Capital,15,53.0000,48.0000,null,258.0000
DISC Echeverria,2,null,null,null,2.0000
Trelles,4,12.0000,5.0000,4.0000,4.0000
Centenera,4,7.0000,2.0000,null,12.0000
Parque Sarmiento,16,35.0000,95.0000,22.0000,209.0000
Pilar,22,3.0000,23.0000,5.0000,23.0000
Bonpland,13,13.0000,31.0000,7.0000,89.0000
El Club,7,46.0000,68.0000,11.0000,74.0000
La Bandera,19,20.0000,15.0000,9.0000,65.0000
Congreso,1,7.0000,8.0000,null,45.0000
Gral Paz Capital,3,48.0000,20.0000,null,39.0000
Alsina,6,2.0000,11.0000,3.0000,11.0000
Cabildo,6,13.0000,5.0000,6.0000,5.0000
Emilio Castro,8,28.0000,41.0000,2.0000,12.0000
Alvear,15,15.0000,65.0000,28.0000,244.0000
Ovidio Lagos,16,3.0000,25.0000,3.0000,131.0000
Zarate,14,15.0000,22.0000,null,11.0000
Quilmes,2,13.0000,18.0000,5.0000,26.0000
Santa Rita,11,2.0000,74.0000,3.0000,171.0000
Buen Ayre,2,15.0000,15.0000,1.0000,36.0000
Olivos,22,33.0000,4.0000,6.0000,47.0000
Dialogos,20,17.0000,14.0000,6.0000,50.0000
Cabildo,10,17.0000,9.0000,1.0000,22.0000
Disc Panamericana,2,null,null,null,null
Maschwitz,20,null,null,null,18.0000
Centenera,19,7.0000,6.0000,null,12.0000
Maipu,7,6.0000,10.0000,1.0000,22.0000
Laferrere,4,13.0000,25.0000,3.0000,5.0000
Buen Ayre,11,35.0000,64.0000,17.0000,125.0000
Maipu,0,19.0000,11.0000,3.0000,66.0000
Zarate,7,38.0000,52.0000,null,12.0000
