estacion,hora,q_cafes_llevar_solo_otros_negro1,q_cafes_local_solo_otros_negro1
Cabildo,3,3.0000,4.0000
Santa Rita,16,2.0000,3.0000
Olivos,0,1.0000,16.0000
Parque Sarmiento,12,6.0000,11.0000
Amanecer,23,4.0000,null
Gral Paz Provincia,9,64.0000,133.0000
San Isidro,13,21.0000,9.0000
Lima,19,197.0000,113.0000
Lima,17,266.0000,194.0000
Santa Rita,19,3.0000,8.0000
Florencio Varela,13,4.0000,30.0000
Centenera,12,14.0000,8.0000
Gral Paz Capital,23,12.0000,null
Amanecer,7,67.0000,null
Villa Luro,11,30.0000,157.0000
Boulevard,7,124.0000,24.0000
Bonpland,14,18.0000,94.0000
San Isidro,20,4.0000,22.0000
Maipu,17,null,18.0000
DISC Caraffa,9,5.0000,17.0000
Gral Paz Capital,15,53.0000,null
Lima,8,155.0000,107.0000
Amanecer,10,38.0000,null
Trelles,4,15.0000,23.0000
El Club,7,50.0000,55.0000
Parque Sarmiento,16,29.0000,13.0000
Congreso,1,null,1.0000
Bonpland,13,13.0000,71.0000
Alsina,6,10.0000,2.0000
Cabildo,6,6.0000,16.0000
Gral Paz Capital,3,26.0000,null
Alvear,15,39.0000,120.0000
Emilio Castro,8,30.0000,16.0000
Ovidio Lagos,16,null,null
Quilmes,2,10.0000,15.0000
Zarate,14,3.0000,2.0000
Centenera,19,11.0000,6.0000
Laferrere,4,20.0000,16.0000
Maipu,7,null,1.0000
Cabildo,10,5.0000,38.0000
Buen Ayre,11,31.0000,67.0000
Dialogos,20,5.0000,6.0000
Maipu,0,null,null
Garay,13,4.0000,62.0000
Zarate,7,11.0000,null
Santa Rita,7,2.0000,2.0000
Laferrere,18,6.0000,50.0000
Laferrere,19,4.0000,53.0000
Santa Rita,0,4.0000,3.0000
La Carmela,3,30.0000,null
Zarate Brazo Largo,6,2.0000,null
Zarate Brazo Largo,8,null,null
AUBASA LP-BA,17,77.0000,122.0000
AUBASA LP-BA,21,21.0000,22.0000
Arroyo Seco,22,45.0000,33.0000
Alsina,14,12.0000,8.0000
Luis Viale,20,10.0000,18.0000
Ovidio Lagos,23,null,null
Parque Sarmiento,8,13.0000,18.0000
AUBASA BA-LP,5,30.0000,9.0000
Libertador,7,21.0000,24.0000
El Club,20,17.0000,62.0000
Maipu,18,null,8.0000
Congreso,23,null,null
Quilmes,9,48.0000,88.0000
Anchorena,3,null,null
Olivos,14,3.0000,23.0000
Arroyo Seco,11,98.0000,399.0000
America,1,6.0000,null
Olivos,20,2.0000,19.0000
Trelles,11,18.0000,66.0000
La Carmela,22,12.0000,null
Villa Luro,14,15.0000,65.0000
Congreso,14,2.0000,null
Cabildo,19,1.0000,18.0000
Gutierrez,22,6.0000,8.0000
Maschwitz,15,null,16.0000
DISC Caraffa,10,7.0000,18.0000
Gral Paz Provincia,16,39.0000,109.0000
America,21,8.0000,null
El Arco,10,26.0000,101.0000
Emilio Castro,9,21.0000,17.0000
Villa Luro,9,48.0000,121.0000
Lima,5,170.0000,29.0000
