estacion,hora,q_cafes_llevar_algo_otros_negro1,q_cafes_local_algo_otros_negro1
Cabildo,20,2.0000,37.0000
Disc Panamericana,16,null,null
Olivos,0,2.0000,27.0000
Cabildo,3,4.0000,14.0000
Santa Rita,16,4.0000,20.0000
Parque Sarmiento,12,61.0000,136.0000
Amanecer,23,11.0000,null
Amanecer,2,16.0000,null
Las Heras,2,23.0000,5.0000
Santa Rita,19,2.0000,10.0000
Florencio Varela,13,14.0000,38.0000
Lima,17,990.0000,816.0000
Lima,19,718.0000,514.0000
Gral Paz Provincia,9,345.0000,509.0000
San Isidro,3,19.0000,14.0000
Amanecer,7,216.0000,null
San Isidro,13,23.0000,41.0000
Gral Paz Capital,23,33.0000,null
Centenera,12,46.0000,33.0000
Maipu,17,null,15.0000
Villa Luro,11,145.0000,484.0000
Bonpland,14,55.0000,167.0000
San Isidro,20,50.0000,158.0000
Zarate Brazo Largo,14,null,null
Boulevard,7,274.0000,202.0000
DISC Caraffa,9,128.0000,93.0000
Santa Fe,15,19.0000,5.0000
Lima,8,803.0000,894.0000
Gral Paz Capital,15,207.0000,null
Mitre,20,null,null
Amanecer,10,158.0000,null
DISC Echeverria,2,null,17.0000
Trelles,4,31.0000,18.0000
Anchorena,22,null,null
Boulevard,23,null,null
Alberdi,1,null,5.0000
Centenera,4,22.0000,7.0000
La Bandera,19,31.0000,283.0000
Cabildo,6,8.0000,39.0000
Parque Sarmiento,16,262.0000,85.0000
Rosario Sur,8,null,null
Gral Paz Capital,3,76.0000,null
Pilar,22,21.0000,1.0000
El Club,7,282.0000,471.0000
Bonpland,13,25.0000,167.0000
Congreso,1,1.0000,null
Alsina,6,40.0000,12.0000
Ovidio Lagos,16,null,null
Zarate,14,13.0000,5.0000
Emilio Castro,8,116.0000,120.0000
Alvear,15,74.0000,220.0000
Santa Rita,11,5.0000,18.0000
Quilmes,2,26.0000,24.0000
Buen Ayre,2,108.0000,38.0000
Centenera,19,27.0000,13.0000
Dialogos,20,14.0000,10.0000
Maipu,7,null,5.0000
Cabildo,10,3.0000,80.0000
Olivos,22,2.0000,27.0000
Maschwitz,20,null,11.0000
Laferrere,4,40.0000,36.0000
Disc Panamericana,2,null,null
Buen Ayre,11,202.0000,289.0000
Maipu,0,1.0000,2.0000
Garay,13,10.0000,107.0000
Zarate,7,41.0000,8.0000
Santa Rita,7,14.0000,18.0000
Parque Sarmiento,3,5.0000,4.0000
Emilio Castro,18,24.0000,40.0000
Laferrere,18,22.0000,164.0000
Laferrere,19,13.0000,141.0000
La Carmela,3,31.0000,null
Santa Rita,0,1.0000,null
Congreso,21,7.0000,1.0000
Zarate Brazo Largo,8,3.0000,null
Zarate Brazo Largo,6,4.0000,null
Alberdi,2,null,10.0000
Gutierrez,15,35.0000,56.0000
AUBASA LP-BA,17,273.0000,517.0000
AUBASA LP-BA,21,70.0000,82.0000
Luis Viale,20,21.0000,73.0000
Parque Sarmiento,8,352.0000,192.0000
Alsina,14,50.0000,10.0000
Ovidio Lagos,23,null,null
Arroyo Seco,22,184.0000,203.0000
Mitre,6,null,null
Maipu,18,null,17.0000
AUBASA BA-LP,5,238.0000,97.0000
Disc Panamericana,21,null,null
Olivos,6,7.0000,14.0000
Libertador,7,234.0000,325.0000
El Club,20,37.0000,127.0000
Congreso,23,2.0000,1.0000
Santa Rita,21,2.0000,1.0000
Zarate Brazo Largo,23,null,null
Quilmes,9,205.0000,328.0000
Bulnes,4,null,null
Anchorena,3,null,null
Arroyo Seco,11,469.0000,2166.0000
La Carmela,22,15.0000,null
Olivos,20,4.0000,54.0000
Trelles,11,85.0000,361.0000
Olivos,14,11.0000,29.0000
America,1,14.0000,null
Villa Luro,14,53.0000,275.0000
Cabildo,19,7.0000,44.0000
Congreso,14,1.0000,5.0000
Gutierrez,22,8.0000,11.0000
Rosario Sur,16,null,null
Maschwitz,15,null,23.0000
Disc Panamericana,7,2.0000,null
Quilmes,22,13.0000,15.0000
Gral Paz Provincia,16,162.0000,284.0000
America,21,23.0000,null
DISC Caraffa,10,48.0000,66.0000
El Arco,10,120.0000,366.0000
Villa Luro,9,181.0000,479.0000
Emilio Castro,9,76.0000,107.0000
Olivos,1,2.0000,21.0000
Villa Luro,0,40.0000,75.0000
Lima,5,490.0000,161.0000
Zarate,5,null,null
La Bandera,3,null,null
Santa Rita,2,17.0000,1.0000
Rivadavia,6,null,null
Las Heras,17,61.0000,60.0000
Del Tejar,3,21.0000,null
