estacion,hora,q_cafes_llevar_algo_otros_sinbakery_negro,q_cafes_local_algo_otros_sinbakery_negro
Santa Rita,16,5.0000,15.0000
Cabildo,20,4.0000,43.0000
Disc Panamericana,16,null,null
Olivos,0,3.0000,33.0000
Cabildo,3,6.0000,12.0000
Parque Sarmiento,12,31.0000,64.0000
Amanecer,23,13.0000,null
Amanecer,2,19.0000,null
Las Heras,2,23.0000,6.0000
Santa Rita,19,5.0000,12.0000
Florencio Varela,13,15.0000,56.0000
Amanecer,7,152.0000,null
San Isidro,13,36.0000,31.0000
Lima,19,653.0000,361.0000
Gral Paz Provincia,9,161.0000,247.0000
Centenera,12,46.0000,25.0000
San Isidro,3,17.0000,11.0000
Gral Paz Capital,23,33.0000,null
Lima,17,890.0000,577.0000
Boulevard,7,241.0000,36.0000
Maipu,17,null,23.0000
Villa Luro,11,78.0000,274.0000
Bonpland,14,47.0000,183.0000
San Isidro,20,30.0000,80.0000
Zarate Brazo Largo,14,null,null
DISC Caraffa,9,23.0000,36.0000
Lima,8,343.0000,220.0000
Gral Paz Capital,15,152.0000,null
Mitre,20,null,null
Boulevard,23,null,null
Amanecer,10,117.0000,null
Santa Fe,15,26.0000,9.0000
Trelles,4,33.0000,36.0000
Anchorena,22,null,null
Alberdi,1,null,11.0000
DISC Echeverria,2,null,35.0000
Centenera,4,23.0000,8.0000
La Bandera,19,24.0000,187.0000
Parque Sarmiento,16,160.0000,59.0000
Alsina,6,18.0000,4.0000
Bonpland,13,31.0000,147.0000
El Club,7,158.0000,156.0000
Gral Paz Capital,3,64.0000,null
Rosario Sur,8,null,null
Cabildo,6,11.0000,23.0000
Pilar,22,22.0000,1.0000
Congreso,1,1.0000,1.0000
Zarate,14,9.0000,5.0000
Emilio Castro,8,69.0000,30.0000
Alvear,15,82.0000,248.0000
Ovidio Lagos,16,null,null
Quilmes,2,31.0000,30.0000
Santa Rita,11,3.0000,11.0000
Buen Ayre,2,23.0000,22.0000
Cabildo,10,8.0000,71.0000
Centenera,19,37.0000,15.0000
Dialogos,20,11.0000,14.0000
Maschwitz,20,null,15.0000
Olivos,22,1.0000,38.0000
Laferrere,4,53.0000,23.0000
Maipu,7,null,1.0000
Disc Panamericana,2,null,null
Buen Ayre,11,95.0000,174.0000
Maipu,0,1.0000,2.0000
Zarate,7,24.0000,3.0000
Garay,13,8.0000,107.0000
Santa Rita,7,7.0000,5.0000
Parque Sarmiento,3,5.0000,3.0000
Santa Rita,0,5.0000,3.0000
Emilio Castro,18,24.0000,24.0000
Laferrere,18,27.0000,124.0000
Laferrere,19,12.0000,145.0000
La Carmela,3,52.0000,null
Congreso,21,3.0000,null
Alberdi,2,null,19.0000
Zarate Brazo Largo,8,1.0000,null
Zarate Brazo Largo,6,3.0000,null
AUBASA LP-BA,17,221.0000,373.0000
AUBASA LP-BA,21,52.0000,81.0000
Gutierrez,15,36.0000,70.0000
Parque Sarmiento,8,88.0000,63.0000
Luis Viale,20,26.0000,49.0000
Arroyo Seco,22,176.0000,144.0000
Ovidio Lagos,23,null,null
Alsina,14,26.0000,14.0000
Mitre,6,null,null
Maipu,18,null,18.0000
AUBASA BA-LP,5,120.0000,27.0000
El Club,20,41.0000,133.0000
Disc Panamericana,21,null,null
Congreso,23,1.0000,null
Libertador,7,95.0000,124.0000
Olivos,6,7.0000,9.0000
Quilmes,9,115.0000,191.0000
Zarate Brazo Largo,23,null,null
Anchorena,3,null,null
Santa Rita,21,2.0000,3.0000
Bulnes,4,null,null
Olivos,20,3.0000,54.0000
Arroyo Seco,11,296.0000,1044.0000
Trelles,11,45.0000,148.0000
Olivos,14,11.0000,39.0000
La Carmela,22,26.0000,null
America,1,18.0000,null
Cabildo,19,7.0000,40.0000
Villa Luro,14,45.0000,226.0000
Rosario Sur,16,null,null
Congreso,14,3.0000,3.0000
Gutierrez,22,12.0000,12.0000
DISC Caraffa,10,14.0000,27.0000
Disc Panamericana,7,1.0000,null
Maschwitz,15,null,39.0000
America,21,28.0000,null
Gral Paz Provincia,16,102.0000,229.0000
Quilmes,22,21.0000,31.0000
El Arco,10,51.0000,174.0000
Emilio Castro,9,56.0000,48.0000
Villa Luro,9,105.0000,205.0000
Villa Luro,0,33.0000,80.0000
Olivos,1,4.0000,28.0000
La Bandera,3,null,null
Zarate,5,null,null
Lima,5,352.0000,61.0000
Santa Rita,2,9.0000,1.0000
Rivadavia,6,null,null
Las Heras,17,41.0000,38.0000
Rosario Sur,9,null,null
Emilio Castro,5,21.0000,21.0000
America,6,85.0000,null
Amanecer,15,33.0000,null
Del Tejar,3,10.0000,null
Parque Sarmiento,20,132.0000,12.0000
Maschwitz,4,null,23.0000
Rosario Sur,18,null,null
Bonpland,12,25.0000,153.0000
Gral Paz Provincia,18,92.0000,158.0000
Del Tejar,5,14.0000,null
Anchorena,10,null,null
Congreso,6,6.0000,2.0000
La Bandera,23,null,null
Bulnes,6,4.0000,11.0000
Alberdi,21,null,6.0000
Parque Sarmiento,17,189.0000,43.0000
Zarate,23,9.0000,1.0000
Dialogos,21,5.0000,12.0000
AUBASA BA-LP,22,122.0000,81.0000
AUBASA LP-BA,4,124.0000,30.0000
Zarate,2,12.0000,null
Olivos,12,2.0000,16.0000
DISC Echeverria,13,null,27.0000
Mitre,1,null,null
Lima,14,596.0000,488.0000
Libertador,12,45.0000,176.0000
Maschwitz,0,null,6.0000
Centenera,0,13.0000,7.0000
Quilmes,23,25.0000,35.0000
Los Incas,8,32.0000,1.0000
America,15,68.0000,null
Emilio Castro,6,109.0000,13.0000
Laferrere,10,16.0000,87.0000
Gral Paz Capital,7,436.0000,null
Bonpland,22,33.0000,72.0000
Rivadavia,11,null,null
Alberdi,13,null,7.0000
Laferrere,2,28.0000,58.0000
Floresta,2,7.0000,null
Olivos,13,3.0000,18.0000
Floresta,13,3.0000,null
Arroyo Seco,21,215.0000,298.0000
Emilio Castro,13,28.0000,49.0000
Gral Paz Capital,17,188.0000,null
Lima,7,445.0000,138.0000
La Bandera,0,null,null
America,9,92.0000,null
Emilio Castro,1,26.0000,7.0000
Maschwitz,12,null,21.0000
Dialogos,2,null,null
San Isidro,17,105.0000,290.0000
Zarate Brazo Largo,11,2.0000,1.0000
Santa Fe,16,27.0000,2.0000
Alberdi,9,null,22.0000
Los Incas,10,19.0000,null
AUBASA BA-LP,21,102.0000,77.0000
DISC Echeverria,11,null,79.0000
America,19,47.0000,null
La Carmela,14,38.0000,null
Del Tejar,18,14.0000,9.0000
Del Tejar,20,10.0000,null
Alvear,1,53.0000,118.0000
Santa Rita,17,1.0000,11.0000
Gutierrez,3,24.0000,6.0000
Rosario Sur,20,null,null
Mitre,22,null,null
AUBASA BA-LP,2,101.0000,57.0000
Luis Viale,12,26.0000,121.0000
Ovidio Lagos,0,null,null
Buen Ayre,7,138.0000,101.0000
Centenera,10,110.0000,47.0000
Fisherton,13,34.0000,236.0000
Amanecer,13,38.0000,null
Alvear,0,77.0000,112.0000
La Bandera,4,null,null
Alberdi,16,null,15.0000
AUBASA LP-BA,16,229.0000,364.0000
Congreso,8,3.0000,6.0000
DISC Caraffa,18,null,11.0000
El Arco,4,null,null
Alvear,9,177.0000,237.0000
El Club,15,72.0000,340.0000
Florencio Varela,23,22.0000,null
Luis Viale,23,17.0000,33.0000
Boulevard,1,null,null
Buen Ayre,16,116.0000,229.0000
La Bandera,17,28.0000,281.0000
Emilio Castro,7,86.0000,17.0000
Emilio Castro,14,15.0000,28.0000
La Carmela,10,75.0000,null
Bonpland,17,52.0000,133.0000
Pilar,6,46.0000,null
Disc Panamericana,13,null,null
Centenera,16,64.0000,40.0000
Anchorena,9,null,null
Buen Ayre,10,101.0000,180.0000
Alberdi,0,null,10.0000
Las Heras,9,33.0000,21.0000
Zarate Brazo Largo,22,null,null
Bulnes,7,18.0000,36.0000
Villa Luro,6,78.0000,52.0000
AUBASA LP-BA,1,112.0000,79.0000
San Isidro,21,21.0000,40.0000
Gral Paz Provincia,21,38.0000,74.0000
Los Incas,11,12.0000,null
Luis Viale,0,16.0000,32.0000
DISC Caraffa,12,1.0000,44.0000
Trelles,19,39.0000,106.0000
Congreso,11,null,5.0000
Alsina,22,68.0000,8.0000
Villa Allende,14,24.0000,201.0000
Quilmes,11,42.0000,204.0000
Congreso,16,3.0000,2.0000
Del Tejar,22,14.0000,null
Alsina,0,57.0000,2.0000
Villa Luro,10,100.0000,261.0000
San Isidro,16,91.0000,220.0000
La Carmela,8,96.0000,null
Del Tejar,19,12.0000,5.0000
Boulevard,13,55.0000,109.0000
Cabildo,12,3.0000,80.0000
Las Heras,4,24.0000,8.0000
Alvear,22,49.0000,123.0000
La Bandera,12,16.0000,335.0000
Fisherton,15,79.0000,212.0000
America,11,40.0000,null
Rosario Sur,2,null,null
Rivadavia,16,null,null
Quilmes,21,17.0000,37.0000
Parque Sarmiento,6,72.0000,41.0000
Emilio Castro,12,31.0000,40.0000
Dialogos,9,44.0000,15.0000
Quilmes,18,35.0000,119.0000
Los Incas,5,11.0000,null
Ovidio Lagos,9,null,null
Floresta,6,26.0000,null
Buen Ayre,19,74.0000,140.0000
Olivos,17,20.0000,61.0000
La Bandera,16,19.0000,274.0000
La Carmela,18,65.0000,null
Laferrere,21,10.0000,80.0000
Gral Paz Capital,12,163.0000,null
Floresta,20,12.0000,null
Maipu,15,null,37.0000
Floresta,18,23.0000,null
Cabildo,4,6.0000,7.0000
Luis Viale,13,14.0000,92.0000
Fisherton,8,134.0000,254.0000
Pilar,4,21.0000,1.0000
Emilio Castro,19,23.0000,18.0000
Gral Paz Capital,20,93.0000,null
Centenera,15,52.0000,28.0000
Bulnes,12,10.0000,65.0000
Luis Viale,2,16.0000,38.0000
Maipu,5,null,1.0000
DISC Caraffa,14,null,26.0000
El Arco,21,26.0000,69.0000
Garay,12,15.0000,147.0000
Mitre,16,null,null
Trelles,18,69.0000,110.0000
Lima,1,474.0000,179.0000
Amanecer,6,66.0000,null
Luis Viale,5,18.0000,10.0000
Rivadavia,22,null,null
Gutierrez,11,23.0000,49.0000
Bonpland,6,78.0000,63.0000
Disc Panamericana,6,null,null
Garay,0,12.0000,14.0000
America,5,33.0000,null
Quilmes,3,26.0000,20.0000
Mitre,2,null,null
Alberdi,20,null,10.0000
Garay,7,27.0000,96.0000
Garay,1,9.0000,18.0000
Villa Luro,2,23.0000,30.0000
Mitre,5,null,null
Zarate Brazo Largo,13,1.0000,1.0000
Santa Rita,8,5.0000,15.0000
San Isidro,18,91.0000,251.0000
Alvear,12,81.0000,173.0000
DISC Caraffa,2,null,null
Laferrere,6,13.0000,20.0000
Libertador,10,128.0000,178.0000
Zarate,16,9.0000,null
AUBASA BA-LP,1,119.0000,87.0000
Olivos,5,1.0000,16.0000
Santa Rita,12,1.0000,7.0000
Gutierrez,8,49.0000,27.0000
Arroyo Seco,13,303.0000,1222.0000
Luis Viale,19,19.0000,86.0000
El Club,3,19.0000,34.0000
Gral Paz Provincia,1,99.0000,101.0000
Rosario Sur,22,null,null
Arroyo Seco,18,473.0000,975.0000
DISC Echeverria,0,null,72.0000
Boulevard,16,57.0000,108.0000
Los Incas,17,16.0000,1.0000
Trelles,6,92.0000,75.0000
Rivadavia,8,null,null
Rivadavia,19,null,null
Alberdi,14,null,14.0000
Trelles,1,55.0000,63.0000
Maipu,10,null,4.0000
AUBASA LP-BA,20,108.0000,89.0000
La Bandera,2,null,null
La Bandera,15,23.0000,368.0000
Florencio Varela,11,15.0000,33.0000
Amanecer,18,36.0000,null
DISC Caraffa,13,5.0000,34.0000
Zarate Brazo Largo,16,2.0000,null
Florencio Varela,2,12.0000,null
Santa Rita,23,4.0000,2.0000
El Club,6,61.0000,63.0000
Alvear,11,91.0000,227.0000
Cabildo,2,8.0000,19.0000
Libertador,15,97.0000,175.0000
DISC Echeverria,18,null,33.0000
Amanecer,0,25.0000,null
Santa Rita,5,6.0000,null
Luis Viale,6,25.0000,32.0000
Zarate,11,34.0000,5.0000
Luis Viale,14,24.0000,138.0000
Fisherton,16,107.0000,217.0000
El Club,13,52.0000,276.0000
Rosario Sur,19,null,null
AUBASA BA-LP,11,252.0000,302.0000
AUBASA BA-LP,14,254.0000,321.0000
Villa Allende,7,115.0000,155.0000
Bonpland,7,102.0000,112.0000
Floresta,22,16.0000,null
La Carmela,17,63.0000,null
Luis Viale,10,47.0000,128.0000
Amanecer,21,23.0000,null
DISC Caraffa,19,null,11.0000
Floresta,10,25.0000,null
Bonpland,4,43.0000,35.0000
America,18,50.0000,null
Laferrere,20,9.0000,121.0000
Maipu,23,null,12.0000
Gutierrez,1,28.0000,11.0000
Los Incas,7,18.0000,null
Parque Sarmiento,19,126.0000,16.0000
El Arco,13,21.0000,75.0000
Quilmes,14,52.0000,106.0000
Lima,23,391.0000,147.0000
Emilio Castro,17,16.0000,17.0000
Olivos,8,39.0000,18.0000
Santa Fe,7,44.0000,3.0000
Mitre,3,null,null
Florencio Varela,9,33.0000,29.0000
AUBASA BA-LP,20,155.0000,99.0000
Zarate,8,46.0000,4.0000
Maipu,4,null,1.0000
Anchorena,11,null,null
Maipu,11,null,8.0000
Floresta,11,14.0000,null
Zarate,15,12.0000,4.0000
El Arco,16,36.0000,154.0000
Libertador,14,64.0000,149.0000
Gral Paz Capital,21,77.0000,null
La Bandera,22,null,null
Centenera,14,29.0000,23.0000
Florencio Varela,19,7.0000,null
Anchorena,6,null,null
Anchorena,12,null,null
Gutierrez,23,11.0000,21.0000
Mitre,0,null,null
Pilar,11,28.0000,null
Pilar,21,20.0000,null
Disc Panamericana,9,1.0000,null
Fisherton,1,26.0000,1.0000
Buen Ayre,13,69.0000,224.0000
Ovidio Lagos,6,null,null
Alsina,16,45.0000,17.0000
Maschwitz,13,null,28.0000
Del Tejar,17,13.0000,15.0000
Los Incas,23,11.0000,null
DISC Caraffa,7,4.0000,4.0000
DISC Caraffa,17,null,16.0000
Fisherton,20,30.0000,98.0000
Gral Paz Provincia,2,103.0000,75.0000
Santa Fe,1,null,null
Cabildo,15,9.0000,76.0000
Florencio Varela,17,15.0000,3.0000
Fisherton,12,43.0000,438.0000
Quilmes,20,22.0000,40.0000
Trelles,10,81.0000,154.0000
Libertador,17,102.0000,197.0000
Alvear,19,39.0000,119.0000
Gutierrez,21,12.0000,12.0000
Villa Allende,22,null,1.0000
Zarate,21,6.0000,null
El Arco,22,null,1.0000
Santa Rita,13,3.0000,13.0000
DISC Caraffa,23,null,null
AUBASA LP-BA,6,204.0000,56.0000
La Bandera,5,null,null
Olivos,15,6.0000,59.0000
Maipu,14,1.0000,39.0000
Zarate,20,4.0000,5.0000
Lima,10,513.0000,352.0000
Gral Paz Provincia,23,88.0000,105.0000
Alberdi,22,null,2.0000
Alsina,4,71.0000,null
Lima,3,303.0000,75.0000
Arroyo Seco,3,194.0000,90.0000
Quilmes,16,39.0000,95.0000
Cabildo,0,9.0000,27.0000
Cabildo,18,5.0000,70.0000
