estacion,hora,dia_semana,q_cafes_llevar_algo_bakery_negro1,q_cafes_local_algo_bakery_negro1
AUBASA BA-LP,10,1,32.0000,97.0000
America,18,1,,15.0000
Alsina,5,7,,2.0000
Gral Paz Provincia,8,2,23.0000,41.0000
Gutierrez,9,7,8.0000,26.0000
Santa Rita,16,7,4.0000,2.0000
Congreso,5,4,3.0000,4.0000
America,17,7,1.0000,7.0000
Arroyo Seco,14,1,8.0000,30.0000
Gral Paz Capital,14,1,2.0000,4.0000
Del Tejar,13,3,1.0000,12.0000
Alvear,5,4,10.0000,30.0000
Alvear,18,3,9.0000,41.0000
Zarate,18,3,,
America,9,2,3.0000,40.0000
Zarate Brazo Largo,8,2,29.0000,32.0000
Las Heras,14,7,1.0000,
La Bandera,10,7,42.0000,
Gutierrez,18,1,4.0000,18.0000
Zarate Brazo Largo,6,5,22.0000,33.0000
Maipu,12,3,,
Villa Luro,22,1,,3.0000
Santa Fe,7,3,10.0000,5.0000
Olivos,19,1,,4.0000
Zarate Brazo Largo,22,1,5.0000,4.0000
Gutierrez,17,1,3.0000,14.0000
Lima,8,4,108.0000,148.0000
Pilar,7,5,3.0000,2.0000
Gral Paz Provincia,8,6,22.0000,80.0000
Arroyo Seco,12,2,18.0000,53.0000
Bonpland,8,1,7.0000,34.0000
Villa Allende,8,6,50.0000,57.0000
Arroyo Seco,10,5,98.0000,150.0000
Fisherton,15,7,,
Laferrere,12,2,1.0000,
Bonpland,4,7,1.0000,12.0000
La Carmela,5,5,,1.0000
Dialogos,10,7,5.0000,12.0000
Zarate,9,5,,
Lima,20,3,19.0000,24.0000
AUBASA LP-BA,2,2,2.0000,5.0000
Garay,7,1,7.0000,10.0000
Amanecer,11,5,13.0000,7.0000
Boulevard,17,2,1.0000,13.0000
Ovidio Lagos,7,6,,
Santa Rita,14,5,1.0000,4.0000
Olivos,6,7,1.0000,
Santa Rita,3,2,,
Santa Rita,15,3,3.0000,9.0000
AUBASA BA-LP,5,7,25.0000,18.0000
La Bandera,8,4,33.0000,1.0000
Congreso,11,3,3.0000,7.0000
Alsina,12,5,3.0000,10.0000
Alvear,13,5,3.0000,25.0000
Garay,12,3,4.0000,7.0000
Santa Rita,21,4,2.0000,1.0000
Emilio Castro,5,4,2.0000,2.0000
Villa Luro,6,5,4.0000,12.0000
Villa Allende,6,5,20.0000,13.0000
Lima,23,1,15.0000,12.0000
Maipu,8,2,,
Los Incas,9,5,,
Pilar,19,2,,
Lima,9,6,113.0000,174.0000
AUBASA LP-BA,17,2,13.0000,52.0000
Buen Ayre,18,2,11.0000,55.0000
Villa Luro,12,6,1.0000,16.0000
Arroyo Seco,9,7,154.0000,212.0000
Lima,14,4,19.0000,26.0000
Parque Sarmiento,15,4,1.0000,21.0000
Arroyo Seco,11,2,43.0000,93.0000
Alsina,8,7,5.0000,13.0000
Gutierrez,8,4,4.0000,36.0000
Alvear,6,7,9.0000,46.0000
Bulnes,19,4,,6.0000
Ovidio Lagos,5,6,,
Congreso,10,2,4.0000,20.0000
Luis Viale,18,5,12.0000,24.0000
Garay,20,2,1.0000,11.0000
Alsina,18,3,3.0000,13.0000
Ovidio Lagos,7,7,,7.0000
Bonpland,11,1,6.0000,10.0000
Ovidio Lagos,15,2,,
Luis Viale,8,1,4.0000,21.0000
San Isidro,17,6,6.0000,23.0000
Zarate,10,7,,1.0000
Alsina,11,4,3.0000,9.0000
El Arco,6,7,26.0000,10.0000
Santa Fe,15,1,3.0000,
Fisherton,7,6,27.0000,6.0000
Gral Paz Capital,10,7,36.0000,43.0000
Buen Ayre,17,5,19.0000,63.0000
Quilmes,7,2,,3.0000
Del Tejar,6,7,2.0000,6.0000
Centenera,14,3,,2.0000
Zarate,3,2,,
Gral Paz Provincia,15,1,1.0000,17.0000
Florencio Varela,0,1,2.0000,
Trelles,11,4,5.0000,16.0000
Olivos,16,1,,10.0000
Pilar,18,6,,7.0000
La Carmela,6,5,3.0000,
