estacion,hora,q_cafes_llevar_algo_otros_sinbakery_negro_choco,q_cafes_local_algo_otros_sinbakery_negro_choco
Olivos,0,1.0000,9.0000
Cabildo,3,1.0000,null
Cabildo,20,1.0000,null
Santa Rita,16,null,5.0000
Parque Sarmiento,12,11.0000,26.0000
Amanecer,23,3.0000,null
Amanecer,2,3.0000,null
Las Heras,2,3.0000,null
Amanecer,7,5.0000,null
Lima,19,75.0000,34.0000
Gral Paz Provincia,9,4.0000,1.0000
Florencio Varela,13,1.0000,6.0000
San Isidro,13,4.0000,7.0000
Lima,17,103.0000,66.0000
Gral Paz Capital,23,1.0000,null
San Isidro,3,1.0000,null
Santa Rita,19,null,3.0000
Centenera,12,5.0000,1.0000
San Isidro,20,2.0000,3.0000
Maipu,17,null,null
Zarate Brazo Largo,14,null,null
Bonpland,14,5.0000,18.0000
Villa Luro,11,3.0000,17.0000
DISC Caraffa,9,null,null
Gral Paz Capital,15,21.0000,null
Santa Fe,15,6.0000,1.0000
Alberdi,1,null,null
Centenera,4,1.0000,2.0000
Trelles,4,null,4.0000
Lima,8,9.0000,17.0000
Amanecer,10,10.0000,null
Parque Sarmiento,16,68.0000,15.0000
Congreso,1,null,null
Pilar,22,3.0000,null
El Club,7,20.0000,3.0000
La Bandera,19,7.0000,9.0000
Bonpland,13,3.0000,13.0000
Gral Paz Capital,3,7.0000,null
Alsina,6,null,null
Cabildo,6,null,null
Quilmes,2,1.0000,2.0000
Alvear,15,10.0000,28.0000
Ovidio Lagos,16,null,null
Emilio Castro,8,2.0000,null
Zarate,14,1.0000,1.0000
Buen Ayre,2,2.0000,4.0000
Santa Rita,11,null,2.0000
Maschwitz,20,null,3.0000
Olivos,22,1.0000,7.0000
Dialogos,20,null,3.0000
Cabildo,10,null,13.0000
Centenera,19,1.0000,null
Laferrere,4,8.0000,1.0000
Buen Ayre,11,6.0000,22.0000
Maipu,0,null,1.0000
Parque Sarmiento,3,2.0000,2.0000
Garay,13,null,8.0000
Zarate,7,null,null
Santa Rita,7,null,null
Laferrere,18,2.0000,7.0000
Laferrere,19,null,10.0000
Emilio Castro,18,6.0000,1.0000
Santa Rita,0,null,null
La Carmela,3,null,null
Congreso,21,null,null
Zarate Brazo Largo,6,null,null
Zarate Brazo Largo,8,null,null
Alberdi,2,null,2.0000
AUBASA LP-BA,17,22.0000,28.0000
Gutierrez,15,13.0000,17.0000
AUBASA LP-BA,21,4.0000,14.0000
Luis Viale,20,3.0000,9.0000
Alsina,14,1.0000,null
Ovidio Lagos,23,null,null
Arroyo Seco,22,23.0000,24.0000
Parque Sarmiento,8,33.0000,18.0000
Maipu,18,null,3.0000
Congreso,23,1.0000,null
Olivos,6,null,null
El Club,20,2.0000,12.0000
AUBASA BA-LP,5,15.0000,2.0000
Libertador,7,11.0000,44.0000
Zarate Brazo Largo,23,null,null
Santa Rita,21,null,null
Olivos,20,1.0000,6.0000
Arroyo Seco,11,23.0000,77.0000
Trelles,11,2.0000,12.0000
America,1,4.0000,null
Olivos,14,null,5.0000
La Carmela,22,3.0000,null
Gutierrez,22,3.0000,2.0000
Villa Luro,14,14.0000,69.0000
Congreso,14,null,null
Cabildo,19,2.0000,3.0000
Gral Paz Provincia,16,13.0000,15.0000
America,21,5.0000,null
Quilmes,22,3.0000,2.0000
Maschwitz,15,null,3.0000
DISC Caraffa,10,null,null
Villa Luro,9,6.0000,4.0000
Villa Luro,0,8.0000,21.0000
El Arco,10,2.0000,12.0000
Olivos,1,null,2.0000
Emilio Castro,9,1.0000,1.0000
Lima,5,26.0000,1.0000
Parque Sarmiento,20,50.0000,1.0000
Amanecer,15,5.0000,null
Las Heras,17,4.0000,8.0000
Del Tejar,3,1.0000,null
America,6,3.0000,null
Emilio Castro,5,null,2.0000
Gral Paz Provincia,18,11.0000,9.0000
Bonpland,12,4.0000,6.0000
Del Tejar,5,null,null
Congreso,6,null,null
Parque Sarmiento,17,70.0000,13.0000
Dialogos,21,2.0000,1.0000
AUBASA BA-LP,22,31.0000,22.0000
Zarate,23,2.0000,null
Zarate,2,4.0000,null
Alberdi,21,null,null
Olivos,12,null,null
DISC Echeverria,13,null,null
Quilmes,23,4.0000,5.0000
Centenera,0,null,null
Lima,14,97.0000,62.0000
Libertador,12,1.0000,42.0000
Maschwitz,0,null,null
America,15,4.0000,null
Laferrere,10,1.0000,4.0000
Alberdi,13,null,1.0000
Bonpland,22,4.0000,14.0000
Emilio Castro,6,4.0000,null
Los Incas,8,1.0000,null
Laferrere,2,6.0000,5.0000
Gral Paz Capital,7,6.0000,null
Floresta,2,null,null
