estacion,hora,dia_semana,q_cafes_llevar_algo_otros_sinbakery_negro_caramelonochoco,q_cafes_local_algo_otros_sinbakery_negro_caramelonochoco
Arroyo Seco,14,1,37.0000,29.0000
Pilar,21,3,,
Zarate Brazo Largo,6,5,6.0000,
Emilio Castro,8,3,6.0000,
Cabildo,1,5,,
AUBASA BA-LP,10,1,10.0000,5.0000
Maipu,12,3,,
Olivos,19,1,,4.0000
Villa Luro,22,1,,8.0000
Zarate,18,3,1.0000,
Emilio Castro,23,6,,
Maschwitz,3,7,,
Gutierrez,9,7,5.0000,
Villa Luro,0,4,6.0000,8.0000
San Isidro,23,5,,3.0000
Gutierrez,18,1,1.0000,5.0000
Zarate Brazo Largo,22,1,2.0000,
Alvear,18,3,5.0000,11.0000
Santa Fe,7,3,5.0000,
Dialogos,20,4,1.0000,
Centenera,5,6,3.0000,
Centenera,5,7,4.0000,
Alvear,5,4,7.0000,3.0000
America,18,1,,4.0000
Santa Rita,16,7,2.0000,3.0000
Del Tejar,13,3,,
Santa Rita,19,6,1.0000,2.0000
Trelles,16,4,1.0000,4.0000
Amanecer,22,4,,3.0000
Gral Paz Provincia,8,2,9.0000,9.0000
Santa Rita,23,1,,
Mitre,1,4,,
America,9,2,2.0000,7.0000
Zarate,15,6,,
Congreso,14,2,,3.0000
America,17,7,1.0000,1.0000
Quilmes,22,3,,
Garay,1,4,,
Maschwitz,4,6,,
Laferrere,12,2,,
Trelles,11,6,,6.0000
Arroyo Seco,12,2,13.0000,29.0000
Amanecer,11,5,,
Boulevard,17,2,1.0000,5.0000
Laferrere,15,5,,
Maipu,2,1,,1.0000
Arroyo Seco,10,5,32.0000,15.0000
Congreso,22,1,2.0000,
AUBASA BA-LP,2,4,3.0000,3.0000
Ovidio Lagos,7,6,,
Lima,20,3,11.0000,9.0000
Pilar,7,5,1.0000,2.0000
Maipu,15,3,,
Gutierrez,14,1,1.0000,4.0000
Gral Paz Provincia,8,6,16.0000,6.0000
Zarate,11,3,,
Villa Allende,8,6,6.0000,
Zarate,0,7,,
Floresta,7,1,1.0000,1.0000
Florencio Varela,21,4,,
Maipu,21,6,,
AUBASA LP-BA,2,2,5.0000,3.0000
Santa Rita,23,4,,1.0000
Fisherton,15,7,,4.0000
Bonpland,23,2,,3.0000
Luis Viale,12,3,1.0000,
Bonpland,15,4,2.0000,11.0000
Santa Rita,14,5,2.0000,3.0000
CORS Alem,16,6,3.0000,
Gutierrez,17,1,1.0000,4.0000
Fisherton,3,3,1.0000,
Lima,8,4,30.0000,13.0000
Olivos,6,7,,
America,5,6,,5.0000
Santa Fe,10,3,,
Olivos,22,1,,
Dialogos,10,7,2.0000,1.0000
Zarate,9,5,,
La Carmela,5,5,,
Bonpland,4,7,1.0000,4.0000
Maipu,0,7,,
Alsina,15,3,2.0000,1.0000
Emilio Castro,5,4,2.0000,
Emilio Castro,23,3,,1.0000
San Isidro,2,7,,
Alvear,13,5,3.0000,10.0000
AUBASA BA-LP,5,7,16.0000,1.0000
Santa Rita,21,4,,
Floresta,0,2,3.0000,1.0000
Alsina,12,5,,1.0000
Pilar,20,6,,
Laferrere,1,2,4.0000,1.0000
Ovidio Lagos,16,3,1.0000,
Zarate Brazo Largo,22,5,3.0000,2.0000
San Isidro,22,3,,2.0000
Maschwitz,13,7,,
Villa Allende,6,5,3.0000,1.0000
Garay,12,3,1.0000,1.0000
Maschwitz,21,2,,
Dialogos,13,5,1.0000,1.0000
Congreso,11,3,,
Alsina,21,4,,1.0000
Santa Rita,15,3,1.0000,4.0000
Olivos,23,3,,
La Bandera,8,4,4.0000,
Villa Luro,6,5,3.0000,2.0000
La Bandera,16,2,3.0000,
Pilar,15,4,,3.0000
Gutierrez,8,4,4.0000,1.0000
AUBASA LP-BA,17,2,16.0000,16.0000
Lima,14,4,36.0000,22.0000
Arroyo Seco,11,2,19.0000,18.0000
Maipu,2,7,,
Arroyo Seco,9,7,27.0000,7.0000
Garay,20,2,,1.0000
Maipu,8,2,,
Bulnes,19,4,,
Lima,9,6,17.0000,3.0000
Alsina,18,3,3.0000,2.0000
Luis Viale,18,5,10.0000,18.0000
Ovidio Lagos,1,7,,
El Arco,6,7,4.0000,
San Isidro,12,3,,3.0000
Pilar,13,7,1.0000,
Los Incas,9,5,,
Amanecer,23,4,,
San Isidro,17,6,5.0000,6.0000
Zarate,19,5,,
Buen Ayre,18,2,9.0000,7.0000
Maschwitz,15,2,,
Parque Sarmiento,15,4,1.0000,4.0000
Ovidio Lagos,15,2,,
America,21,4,,1.0000
Maschwitz,10,2,,
El Club,21,4,1.0000,2.0000
Congreso,3,5,4.0000,1.0000
Alsina,11,4,,
Quilmes,17,1,,1.0000
Pilar,19,2,,2.0000
Boulevard,0,3,1.0000,
Alsina,8,7,,2.0000
Santa Fe,15,1,,
Lima,23,1,15.0000,4.0000
El Club,3,6,,
Zarate,10,7,,
Ovidio Lagos,5,6,,
Santa Fe,17,3,1.0000,
Santa Rita,0,6,,1.0000
Bonpland,11,5,3.0000,11.0000
Buen Ayre,17,5,8.0000,18.0000
Alberdi,14,6,,
Garay,19,6,,3.0000
Trelles,15,1,,1.0000
Olivos,16,1,,4.0000
Centenera,6,2,4.0000,
Fisherton,7,6,8.0000,
Florencio Varela,0,1,5.0000,
Quilmes,7,2,,
Gral Paz Capital,10,7,19.0000,3.0000
Pilar,18,6,,
Cabildo,22,5,,
Garay,2,2,2.0000,
Trelles,11,4,2.0000,1.0000
Maschwitz,11,3,,
Zarate Brazo Largo,14,4,3.0000,10.0000
Pilar,16,1,,
Centenera,14,3,,2.0000
Gral Paz Provincia,15,1,3.0000,10.0000
Zarate,3,2,1.0000,
Quilmes,1,6,1.0000,4.0000
Dialogos,17,5,1.0000,1.0000
Luis Viale,12,6,,4.0000
Santa Rita,11,2,,3.0000
Laferrere,14,3,,2.0000
Zarate Brazo Largo,3,3,,
Alberdi,8,3,,
La Carmela,0,5,,
