estacion,hora,dia_semana,q_cafes_llevar_solo,q_cafes_local_solo,q_cafes_llevar_solo_leche,q_cafes_llevar_solo_otros,q_cafes_local_solo_leche,q_cafes_local_solo_otros,q_cafes_llevar_solo_otros_negro,q_cafes_local_solo_otros_negro
Arroyo Seco,14,1,201.0000,154.0000,97.0000,104.0000,14.0000,140.0000,40.0000,111.0000
Alvear,18,3,49.0000,143.0000,15.0000,34.0000,9.0000,134.0000,10.0000,103.0000
Del Tejar,13,3,14.0000,50.0000,11.0000,3.0000,8.0000,42.0000,,34.0000
Santa Rita,16,7,11.0000,38.0000,6.0000,5.0000,2.0000,36.0000,1.0000,33.0000
Olivos,19,1,15.0000,29.0000,13.0000,2.0000,,29.0000,,23.0000
Floresta,11,5,11.0000,20.0000,6.0000,5.0000,6.0000,14.0000,,18.0000
Dialogos,20,4,3.0000,14.0000,1.0000,2.0000,2.0000,12.0000,1.0000,9.0000
Emilio Castro,8,3,61.0000,18.0000,38.0000,23.0000,1.0000,17.0000,10.0000,17.0000
Gral Paz Provincia,8,2,136.0000,81.0000,69.0000,67.0000,11.0000,70.0000,12.0000,57.0000
Zarate Brazo Largo,8,2,35.0000,38.0000,16.0000,19.0000,6.0000,32.0000,3.0000,26.0000
America,9,2,41.0000,61.0000,20.0000,21.0000,8.0000,53.0000,4.0000,45.0000
Alvear,5,4,52.0000,57.0000,20.0000,32.0000,9.0000,48.0000,16.0000,43.0000
Congreso,5,4,16.0000,4.0000,4.0000,12.0000,,4.0000,3.0000,2.0000
AUBASA BA-LP,10,1,90.0000,72.0000,30.0000,60.0000,14.0000,58.0000,16.0000,52.0000
Las Heras,14,7,12.0000,18.0000,4.0000,8.0000,2.0000,16.0000,3.0000,18.0000
Gral Paz Capital,14,1,17.0000,31.0000,8.0000,9.0000,7.0000,24.0000,2.0000,27.0000
Pilar,7,5,62.0000,27.0000,50.0000,12.0000,16.0000,11.0000,1.0000,24.0000
Arroyo Seco,10,5,230.0000,168.0000,139.0000,91.0000,34.0000,134.0000,28.0000,142.0000
Arroyo Seco,12,2,117.0000,102.0000,49.0000,68.0000,15.0000,87.0000,26.0000,80.0000
Olivos,6,7,20.0000,22.0000,12.0000,8.0000,13.0000,9.0000,1.0000,22.0000
Villa Allende,8,6,47.0000,41.0000,5.0000,42.0000,,41.0000,13.0000,33.0000
Garay,7,1,24.0000,17.0000,12.0000,12.0000,4.0000,13.0000,5.0000,11.0000
Luis Viale,12,3,10.0000,57.0000,3.0000,7.0000,,57.0000,3.0000,34.0000
Zarate,9,5,29.0000,5.0000,18.0000,11.0000,,5.0000,,5.0000
