estacion,hora,dia_semana,q_cafes_llevar_algo,q_cafes_local_algo,q_cafes_llevar_algo_leche,q_cafes_llevar_algo_otros,q_cafes_local_algo_leche,q_cafes_local_algo_otros
Dialogos,20,4,19.0000,42.0000,12.0000,7.0000,30.0000,12.0000
Zarate Brazo Largo,6,5,224.0000,195.0000,129.0000,95.0000,105.0000,90.0000
Zarate,15,6,26.0000,31.0000,10.0000,16.0000,8.0000,23.0000
Santa Rita,19,6,36.0000,127.0000,18.0000,18.0000,46.0000,81.0000
Centenera,5,7,50.0000,23.0000,23.0000,27.0000,13.0000,10.0000
La Bandera,10,7,103.0000,438.0000,44.0000,59.0000,165.0000,273.0000
America,17,7,34.0000,215.0000,17.0000,17.0000,50.0000,165.0000
AUBASA BA-LP,10,1,654.0000,937.0000,336.0000,318.0000,385.0000,552.0000
Arroyo Seco,14,1,700.0000,710.0000,345.0000,355.0000,229.0000,481.0000
America,18,1,25.0000,181.0000,13.0000,12.0000,50.0000,131.0000
Gutierrez,18,1,73.0000,199.0000,35.0000,38.0000,86.0000,113.0000
Villa Luro,22,1,20.0000,86.0000,9.0000,11.0000,20.0000,66.0000
Santa Rita,23,1,5.0000,26.0000,5.0000,,15.0000,11.0000
America,9,2,95.0000,339.0000,46.0000,49.0000,100.0000,239.0000
Congreso,14,2,37.0000,119.0000,10.0000,27.0000,21.0000,98.0000
Emilio Castro,8,3,212.0000,162.0000,115.0000,97.0000,48.0000,114.0000
Del Tejar,13,3,33.0000,127.0000,23.0000,10.0000,53.0000,74.0000
Zarate,18,3,39.0000,30.0000,26.0000,13.0000,14.0000,16.0000
Alvear,18,3,128.0000,548.0000,45.0000,83.0000,189.0000,359.0000
Congreso,5,4,69.0000,28.0000,35.0000,34.0000,7.0000,21.0000
Emilio Castro,23,6,17.0000,15.0000,15.0000,2.0000,7.0000,8.0000
Alsina,5,7,55.0000,86.0000,37.0000,18.0000,39.0000,47.0000
Santa Rita,16,7,57.0000,116.0000,29.0000,28.0000,27.0000,89.0000
Zarate Brazo Largo,22,1,46.0000,28.0000,23.0000,23.0000,12.0000,16.0000
Zarate Brazo Largo,8,2,305.0000,402.0000,171.0000,134.0000,191.0000,211.0000
Gral Paz Provincia,8,2,534.0000,718.0000,308.0000,226.0000,327.0000,391.0000
Santa Fe,7,3,95.0000,40.0000,34.0000,61.0000,14.0000,26.0000
Pilar,21,3,12.0000,29.0000,9.0000,3.0000,16.0000,13.0000
Trelles,16,4,41.0000,107.0000,19.0000,22.0000,28.0000,79.0000
Rivadavia,16,5,2.0000,,,2.0000,,
Las Heras,14,7,34.0000,80.0000,15.0000,19.0000,22.0000,58.0000
Cabildo,22,7,10.0000,7.0000,1.0000,9.0000,1.0000,6.0000
Maipu,12,3,29.0000,126.0000,26.0000,3.0000,31.0000,95.0000
Amanecer,22,4,11.0000,62.0000,1.0000,10.0000,12.0000,50.0000
Floresta,11,5,55.0000,148.0000,9.0000,46.0000,62.0000,86.0000
Gutierrez,9,7,191.0000,280.0000,111.0000,80.0000,120.0000,160.0000
Gral Paz Capital,14,1,89.0000,117.0000,30.0000,59.0000,38.0000,79.0000
Olivos,19,1,32.0000,109.0000,25.0000,7.0000,50.0000,59.0000
Los Incas,22,3,6.0000,1.0000,2.0000,4.0000,,1.0000
San Isidro,23,5,5.0000,54.0000,4.0000,1.0000,5.0000,49.0000
Maschwitz,3,7,5.0000,,2.0000,3.0000,,
