estacion,hora,q_cafes_llevar_algo_leche_bakery,q_cafes_llevar_algo_otros_bakery,q_cafes_local_algo_leche_bakery,q_cafes_local_algo_otros_bakery
Olivos,0,86.0000,9.0000,22.0000,32.0000
Santa Rita,16,18.0000,86.0000,27.0000,366.0000
Parque Sarmiento,12,129.0000,64.0000,88.0000,349.0000
Amanecer,2,13.0000,11.0000,null,53.0000
Las Heras,2,82.0000,22.0000,18.0000,23.0000
Amanecer,23,13.0000,11.0000,null,52.0000
Gral Paz Provincia,9,1720.0000,1137.0000,1954.0000,1780.0000
Lima,17,1101.0000,1108.0000,1171.0000,1942.0000
Lima,19,939.0000,789.0000,981.0000,1312.0000
San Isidro,13,89.0000,45.0000,122.0000,180.0000
Amanecer,7,433.0000,312.0000,null,1084.0000
Florencio Varela,13,48.0000,39.0000,266.0000,150.0000
Gral Paz Capital,23,220.0000,29.0000,null,228.0000
Santa Rita,19,11.0000,83.0000,44.0000,244.0000
Centenera,12,39.0000,32.0000,167.0000,105.0000
Zarate Brazo Largo,14,38.0000,5.0000,1.0000,92.0000
DISC Caraffa,9,36.0000,215.0000,251.0000,397.0000
Boulevard,7,520.0000,431.0000,491.0000,824.0000
Villa Luro,11,435.0000,398.0000,818.0000,1003.0000
Bonpland,14,85.0000,84.0000,171.0000,369.0000
Maipu,17,47.0000,41.0000,103.0000,397.0000
San Isidro,20,32.0000,43.0000,83.0000,189.0000
Lima,8,2939.0000,1807.0000,4200.0000,3512.0000
Amanecer,10,234.0000,208.0000,null,1018.0000
Gral Paz Capital,15,303.0000,148.0000,null,724.0000
Centenera,4,29.0000,12.0000,17.0000,10.0000
Trelles,4,32.0000,16.0000,24.0000,18.0000
Santa Fe,15,21.0000,11.0000,7.0000,7.0000
El Club,7,838.0000,462.0000,1426.0000,1255.0000
Alsina,6,163.0000,347.0000,364.0000,384.0000
Parque Sarmiento,16,76.0000,176.0000,115.0000,448.0000
La Bandera,19,71.0000,19.0000,99.0000,469.0000
Gral Paz Capital,3,631.0000,77.0000,null,293.0000
Pilar,22,27.0000,51.0000,38.0000,38.0000
Bonpland,13,112.0000,61.0000,302.0000,421.0000
Cabildo,6,100.0000,49.0000,95.0000,40.0000
Congreso,1,19.0000,68.0000,23.0000,15.0000
Ovidio Lagos,16,50.0000,80.0000,95.0000,470.0000
Alvear,15,102.0000,98.0000,396.0000,625.0000
Emilio Castro,8,387.0000,343.0000,239.0000,382.0000
Santa Rita,11,25.0000,149.0000,53.0000,481.0000
Buen Ayre,2,73.0000,117.0000,67.0000,93.0000
Quilmes,2,15.0000,20.0000,25.0000,34.0000
Zarate,14,58.0000,25.0000,46.0000,40.0000
Olivos,22,45.0000,5.0000,11.0000,14.0000
