estacion,hora,q_cafes_llevar_algo_leche_sinbakery,q_cafes_llevar_algo_otros_sinbakery,q_cafes_local_algo_leche_sinbakery,q_cafes_local_algo_otros_sinbakery
Santa Rita,16,12.0000,143.0000,10.0000,485.0000
Disc Panamericana,16,4.0000,13.0000,null,25.0000
Cabildo,20,16.0000,36.0000,12.0000,53.0000
Olivos,0,204.0000,39.0000,36.0000,165.0000
Cabildo,3,19.0000,27.0000,10.0000,18.0000
Parque Sarmiento,12,124.0000,49.0000,63.0000,255.0000
Amanecer,23,17.0000,62.0000,null,184.0000
Las Heras,2,28.0000,47.0000,9.0000,44.0000
Amanecer,2,21.0000,54.0000,null,109.0000
Santa Rita,19,16.0000,138.0000,26.0000,355.0000
Centenera,12,46.0000,64.0000,66.0000,191.0000
Amanecer,7,174.0000,282.0000,null,407.0000
San Isidro,13,102.0000,157.0000,103.0000,486.0000
Lima,17,974.0000,2244.0000,374.0000,2202.0000
Lima,19,810.0000,1700.0000,306.0000,1482.0000
Gral Paz Provincia,9,526.0000,561.0000,602.0000,895.0000
Florencio Varela,13,45.0000,79.0000,123.0000,300.0000
Gral Paz Capital,23,182.0000,56.0000,null,415.0000
San Isidro,3,25.0000,56.0000,13.0000,43.0000
Maipu,17,85.0000,80.0000,83.0000,477.0000
DISC Caraffa,9,6.0000,73.0000,34.0000,86.0000
Villa Luro,11,163.0000,243.0000,222.0000,619.0000
Bonpland,14,144.0000,168.0000,104.0000,603.0000
San Isidro,20,40.0000,95.0000,61.0000,297.0000
Zarate Brazo Largo,14,112.0000,31.0000,6.0000,177.0000
Boulevard,7,150.0000,375.0000,32.0000,186.0000
Rivadavia,22,null,null,null,null
Santa Fe,15,17.0000,56.0000,2.0000,39.0000
Lima,8,713.0000,903.0000,223.0000,775.0000
Gral Paz Capital,15,244.0000,181.0000,null,1385.0000
Boulevard,23,null,null,null,null
Amanecer,10,165.0000,268.0000,null,385.0000
DISC Echeverria,2,null,null,null,65.0000
Trelles,4,65.0000,40.0000,24.0000,54.0000
Anchorena,22,null,null,5.0000,10.0000
Mitre,20,null,null,null,null
Centenera,4,25.0000,27.0000,7.0000,27.0000
Alberdi,1,null,null,null,61.0000
Rosario Sur,8,null,null,null,null
La Bandera,19,75.0000,38.0000,44.0000,476.0000
Bonpland,13,122.0000,164.0000,112.0000,489.0000
El Club,7,437.0000,391.0000,481.0000,515.0000
Parque Sarmiento,16,99.0000,187.0000,85.0000,408.0000
Pilar,22,16.0000,82.0000,34.0000,101.0000
Gral Paz Capital,3,228.0000,79.0000,null,268.0000
Alsina,6,97.0000,132.0000,38.0000,183.0000
Cabildo,6,95.0000,66.0000,40.0000,39.0000
Congreso,1,30.0000,71.0000,19.0000,112.0000
Santa Rita,11,15.0000,164.0000,22.0000,411.0000
Emilio Castro,8,216.0000,248.0000,90.0000,104.0000
Alvear,15,119.0000,264.0000,299.0000,1229.0000
Ovidio Lagos,16,48.0000,115.0000,17.0000,549.0000
Quilmes,2,55.0000,77.0000,24.0000,93.0000
Zarate,14,84.0000,79.0000,25.0000,65.0000
Buen Ayre,2,51.0000,47.0000,23.0000,114.0000
Cabildo,10,111.0000,77.0000,23.0000,100.0000
Centenera,19,38.0000,54.0000,37.0000,77.0000
Dialogos,20,78.0000,66.0000,48.0000,146.0000
Maschwitz,20,null,null,null,80.0000
Laferrere,4,72.0000,115.0000,26.0000,46.0000
Maipu,7,90.0000,93.0000,58.0000,208.0000
Olivos,22,115.0000,9.0000,53.0000,144.0000
Disc Panamericana,2,3.0000,1.0000,null,null
Buen Ayre,11,199.0000,281.0000,275.0000,725.0000
Maipu,0,94.0000,33.0000,17.0000,245.0000
Santa Rita,7,28.0000,292.0000,17.0000,193.0000
Garay,13,72.0000,74.0000,49.0000,369.0000
Zarate,7,327.0000,246.0000,57.0000,95.0000
Parque Sarmiento,3,107.0000,8.0000,1.0000,32.0000
La Carmela,3,63.0000,92.0000,33.0000,52.0000
Emilio Castro,18,42.0000,77.0000,37.0000,93.0000
Laferrere,18,80.0000,43.0000,69.0000,170.0000
Laferrere,19,55.0000,33.0000,77.0000,185.0000
Santa Rita,0,13.0000,114.0000,15.0000,124.0000
Zarate Brazo Largo,8,218.0000,90.0000,8.0000,220.0000
Congreso,21,36.0000,72.0000,15.0000,90.0000
Zarate Brazo Largo,6,301.0000,71.0000,6.0000,90.0000
Alberdi,2,null,null,null,80.0000
Gutierrez,15,47.0000,111.0000,61.0000,287.0000
AUBASA LP-BA,17,503.0000,742.0000,712.0000,1203.0000
AUBASA LP-BA,21,90.0000,182.0000,69.0000,299.0000
Alsina,14,37.0000,66.0000,54.0000,351.0000
Luis Viale,20,29.0000,83.0000,65.0000,234.0000
Parque Sarmiento,8,396.0000,132.0000,128.0000,279.0000
Ovidio Lagos,23,16.0000,62.0000,25.0000,207.0000
Arroyo Seco,22,362.0000,538.0000,148.0000,298.0000
Mitre,6,null,null,null,null
Maipu,18,70.0000,77.0000,63.0000,353.0000
Disc Panamericana,21,null,2.0000,null,8.0000
El Club,20,66.0000,130.0000,104.0000,524.0000
Libertador,7,213.0000,305.0000,179.0000,316.0000
Congreso,23,36.0000,52.0000,13.0000,103.0000
AUBASA BA-LP,5,275.0000,337.0000,133.0000,149.0000
Olivos,6,396.0000,73.0000,135.0000,185.0000
Quilmes,9,389.0000,317.0000,208.0000,442.0000
Zarate Brazo Largo,23,82.0000,19.0000,3.0000,100.0000
Anchorena,3,null,null,10.0000,10.0000
Santa Rita,21,5.0000,68.0000,5.0000,123.0000
Bulnes,4,null,null,null,null
Olivos,20,69.0000,24.0000,55.0000,175.0000
Trelles,11,100.0000,63.0000,54.0000,193.0000
Olivos,14,100.0000,36.0000,88.0000,238.0000
Arroyo Seco,11,1086.0000,1333.0000,350.0000,1752.0000
La Carmela,22,25.0000,75.0000,19.0000,89.0000
America,1,44.0000,57.0000,null,153.0000
Rosario Sur,16,null,null,null,null
Cabildo,19,42.0000,51.0000,24.0000,49.0000
Congreso,14,104.0000,99.0000,43.0000,372.0000
Gutierrez,22,15.0000,62.0000,21.0000,63.0000
Villa Luro,14,72.0000,151.0000,109.0000,544.0000
DISC Caraffa,10,4.0000,57.0000,39.0000,105.0000
Maschwitz,15,null,null,null,177.0000
America,21,25.0000,55.0000,null,145.0000
Gral Paz Provincia,16,173.0000,354.0000,250.0000,848.0000
Disc Panamericana,7,5.0000,20.0000,null,10.0000
Quilmes,22,32.0000,55.0000,20.0000,99.0000
Olivos,1,146.0000,25.0000,30.0000,128.0000
El Arco,10,191.0000,152.0000,88.0000,468.0000
Villa Luro,9,246.0000,399.0000,423.0000,517.0000
Emilio Castro,9,163.0000,231.0000,70.0000,137.0000
Lima,5,413.0000,679.0000,61.0000,223.0000
Santa Rita,2,15.0000,73.0000,10.0000,70.0000
Zarate,5,3.0000,1.0000,null,null
La Bandera,3,null,null,null,null
Villa Luro,0,27.0000,117.0000,42.0000,305.0000
Rivadavia,6,null,null,null,null
Rosario Sur,9,null,null,null,null
Las Heras,17,138.0000,159.0000,33.0000,198.0000
Maschwitz,4,null,null,null,181.0000
Amanecer,15,49.0000,120.0000,null,421.0000
Emilio Castro,5,52.0000,97.0000,47.0000,68.0000
Parque Sarmiento,20,23.0000,146.0000,31.0000,179.0000
America,6,240.0000,215.0000,null,88.0000
Del Tejar,3,28.0000,52.0000,7.0000,67.0000
Anchorena,10,null,null,12.0000,16.0000
Rosario Sur,18,null,null,null,null
Congreso,6,303.0000,242.0000,22.0000,218.0000
Gral Paz Provincia,18,280.0000,290.0000,394.0000,671.0000
Del Tejar,5,55.0000,41.0000,15.0000,80.0000
Bonpland,12,132.0000,181.0000,158.0000,521.0000
La Bandera,23,null,null,null,null
Parque Sarmiento,17,106.0000,243.0000,95.0000,362.0000
Zarate,23,46.0000,52.0000,3.0000,42.0000
Zarate,2,26.0000,51.0000,3.0000,24.0000
Dialogos,21,26.0000,31.0000,29.0000,83.0000
Alberdi,21,null,null,null,65.0000
AUBASA BA-LP,22,85.0000,293.0000,66.0000,318.0000
Bulnes,6,25.0000,21.0000,7.0000,26.0000
AUBASA LP-BA,4,135.0000,274.0000,33.0000,86.0000
Olivos,12,126.0000,25.0000,103.0000,256.0000
DISC Echeverria,13,null,null,null,46.0000
Mitre,1,null,null,null,null
Lima,14,372.0000,1352.0000,147.0000,1549.0000
Libertador,12,79.0000,151.0000,100.0000,459.0000
Centenera,0,16.0000,19.0000,2.0000,31.0000
Quilmes,23,60.0000,74.0000,21.0000,127.0000
Maschwitz,0,null,null,null,39.0000
Rivadavia,11,null,null,null,null
Alberdi,13,null,null,null,99.0000
Los Incas,8,411.0000,85.0000,null,8.0000
Emilio Castro,6,202.0000,306.0000,34.0000,49.0000
Laferrere,10,123.0000,81.0000,116.0000,181.0000
Gral Paz Capital,7,680.0000,535.0000,null,620.0000
Bonpland,22,81.0000,103.0000,63.0000,278.0000
America,15,73.0000,134.0000,null,358.0000
Laferrere,2,41.0000,92.0000,31.0000,107.0000
Floresta,2,28.0000,68.0000,12.0000,82.0000
Olivos,13,95.0000,14.0000,93.0000,249.0000
Arroyo Seco,21,526.0000,767.0000,170.0000,529.0000
Lima,7,705.0000,992.0000,212.0000,522.0000
Emilio Castro,13,25.0000,79.0000,57.0000,110.0000
Floresta,13,21.0000,49.0000,34.0000,145.0000
Gral Paz Capital,17,396.0000,256.0000,null,1047.0000
La Bandera,0,null,null,null,null
Maschwitz,12,null,null,null,151.0000
America,9,192.0000,219.0000,null,345.0000
Emilio Castro,1,50.0000,73.0000,11.0000,40.0000
San Isidro,17,96.0000,317.0000,117.0000,776.0000
Zarate Brazo Largo,11,152.0000,38.0000,4.0000,208.0000
Dialogos,2,4.0000,2.0000,4.0000,null
Santa Fe,16,38.0000,63.0000,5.0000,51.0000
Alberdi,9,null,null,null,209.0000
America,19,44.0000,104.0000,null,337.0000
La Carmela,14,51.0000,89.0000,19.0000,147.0000
Del Tejar,18,102.0000,89.0000,131.0000,334.0000
Santa Rita,17,13.0000,180.0000,27.0000,515.0000
Del Tejar,20,32.0000,47.0000,38.0000,159.0000
Los Incas,10,379.0000,65.0000,null,14.0000
AUBASA BA-LP,21,84.0000,249.0000,74.0000,267.0000
DISC Echeverria,11,null,null,null,112.0000
Alvear,1,72.0000,157.0000,113.0000,599.0000
Gutierrez,3,42.0000,134.0000,15.0000,55.0000
Mitre,22,null,null,null,null
Rosario Sur,20,null,null,null,null
Luis Viale,12,25.0000,186.0000,90.0000,437.0000
Ovidio Lagos,0,31.0000,80.0000,27.0000,242.0000
AUBASA BA-LP,2,79.0000,240.0000,42.0000,233.0000
Buen Ayre,7,455.0000,350.0000,325.0000,341.0000
Centenera,10,137.0000,215.0000,123.0000,324.0000
Amanecer,13,43.0000,84.0000,null,324.0000
Alvear,0,64.0000,222.0000,97.0000,699.0000
Fisherton,13,36.0000,118.0000,null,1074.0000
La Bandera,4,null,null,null,null
Alberdi,16,null,null,null,143.0000
AUBASA LP-BA,16,354.0000,678.0000,529.0000,1342.0000
Congreso,8,388.0000,224.0000,56.0000,273.0000
DISC Caraffa,18,2.0000,10.0000,21.0000,101.0000
El Arco,4,null,null,null,null
El Club,15,150.0000,242.0000,269.0000,1316.0000
Alvear,9,287.0000,478.0000,569.0000,1237.0000
Luis Viale,23,24.0000,70.0000,19.0000,190.0000
Florencio Varela,23,21.0000,83.0000,9.0000,129.0000
Boulevard,1,null,null,null,null
Buen Ayre,16,226.0000,384.0000,346.0000,872.0000
La Bandera,17,126.0000,45.0000,83.0000,865.0000
Pilar,6,212.0000,161.0000,38.0000,94.0000
Emilio Castro,14,28.0000,94.0000,20.0000,111.0000
La Carmela,10,175.0000,176.0000,85.0000,137.0000
Centenera,16,49.0000,78.0000,62.0000,243.0000
Emilio Castro,7,292.0000,388.0000,49.0000,68.0000
Bonpland,17,241.0000,216.0000,318.0000,589.0000
Disc Panamericana,13,null,10.0000,null,17.0000
Anchorena,9,null,null,9.0000,19.0000
Buen Ayre,10,417.0000,347.0000,493.0000,757.0000
Alberdi,0,null,null,null,57.0000
Bulnes,7,33.0000,40.0000,26.0000,299.0000
AUBASA LP-BA,1,124.0000,285.0000,51.0000,280.0000
Las Heras,9,168.0000,185.0000,49.0000,146.0000
Zarate Brazo Largo,22,104.0000,33.0000,2.0000,114.0000
