estacion,hora,q_cafes_llevar_algo_leche_sinbakery_alfajor,q_cafes_llevar_algo_otros_sinbakery_alfajor,q_cafes_local_algo_leche_sinbakery_alfajor,q_cafes_local_algo_otros_sinbakery_alfajor
Santa Rita,16,2.0000,14.0000,1.0000,27.0000
Cabildo,20,1.0000,3.0000,2.0000,1.0000
Olivos,0,18.0000,2.0000,3.0000,5.0000
Cabildo,3,3.0000,null,4.0000,3.0000
Las Heras,2,3.0000,null,null,null
Amanecer,23,4.0000,6.0000,null,27.0000
Parque Sarmiento,12,4.0000,2.0000,null,11.0000
Amanecer,2,5.0000,11.0000,null,22.0000
Lima,19,96.0000,191.0000,50.0000,218.0000
Centenera,12,4.0000,4.0000,3.0000,6.0000
Lima,17,128.0000,271.0000,56.0000,283.0000
Gral Paz Provincia,9,34.0000,26.0000,10.0000,17.0000
Gral Paz Capital,23,19.0000,17.0000,null,64.0000
San Isidro,3,4.0000,9.0000,1.0000,3.0000
San Isidro,13,9.0000,7.0000,5.0000,27.0000
Florencio Varela,13,5.0000,4.0000,1.0000,15.0000
Amanecer,7,7.0000,9.0000,null,9.0000
Santa Rita,19,2.0000,19.0000,null,24.0000
San Isidro,20,6.0000,7.0000,1.0000,20.0000
Bonpland,14,10.0000,10.0000,5.0000,24.0000
Villa Luro,11,9.0000,9.0000,6.0000,11.0000
Maipu,17,4.0000,5.0000,5.0000,26.0000
Zarate Brazo Largo,14,8.0000,5.0000,null,10.0000
Boulevard,7,4.0000,6.0000,null,3.0000
Lima,8,48.0000,50.0000,21.0000,28.0000
DISC Echeverria,2,null,null,null,25.0000
Gral Paz Capital,15,12.0000,13.0000,null,82.0000
Santa Fe,15,null,5.0000,null,1.0000
Amanecer,10,12.0000,5.0000,null,17.0000
Trelles,4,14.0000,7.0000,5.0000,10.0000
El Club,7,14.0000,9.0000,6.0000,4.0000
Pilar,22,1.0000,7.0000,7.0000,10.0000
Parque Sarmiento,16,10.0000,14.0000,7.0000,27.0000
Bonpland,13,4.0000,4.0000,2.0000,25.0000
Gral Paz Capital,3,21.0000,15.0000,null,14.0000
Cabildo,6,5.0000,3.0000,2.0000,5.0000
Alsina,6,13.0000,11.0000,2.0000,20.0000
Alvear,15,13.0000,15.0000,15.0000,61.0000
Ovidio Lagos,16,2.0000,2.0000,null,16.0000
Zarate,14,7.0000,7.0000,null,7.0000
Emilio Castro,8,16.0000,8.0000,1.0000,16.0000
Quilmes,2,7.0000,6.0000,2.0000,15.0000
