estacion,hora,dia_semana,q_cafes_llevar_algo_leche_sinbakery_alfajor_cachafaz,q_cafes_llevar_algo_otros_sinbakery_alfajor_cachafaz,q_cafes_local_algo_leche_sinbakery_alfajor_cachafaz,q_cafes_local_algo_otros_sinbakery_alfajor_cachafaz
Gral Paz Capital,14,1,,2.0000,,1.0000
Alvear,5,4,1.0000,3.0000,2.0000,1.0000
Pilar,21,3,,,1.0000,
Trelles,16,4,,1.0000,,
Santa Rita,23,1,,,2.0000,
Las Heras,14,7,,1.0000,,
Zarate,15,6,1.0000,,,
Zarate Brazo Largo,22,1,,,,
America,17,7,1.0000,,2.0000,2.0000
Arroyo Seco,12,2,6.0000,3.0000,2.0000,16.0000
Gutierrez,17,1,,4.0000,,
Santa Fe,17,5,,,,1.0000
Bonpland,8,1,,1.0000,,
Gral Paz Provincia,8,6,4.0000,4.0000,1.0000,3.0000
AUBASA BA-LP,2,4,2.0000,2.0000,,
Bonpland,15,4,,,1.0000,5.0000
Ovidio Lagos,7,6,,,,1.0000
Fisherton,15,7,2.0000,,,7.0000
La Carmela,5,5,2.0000,,,
Olivos,6,7,1.0000,,,
CORS Alem,16,6,,,,
Zarate,11,3,,,,
Alsina,12,5,,,,1.0000
Maipu,0,7,3.0000,,,2.0000
Laferrere,1,2,,1.0000,,1.0000
Alsina,15,3,,1.0000,,3.0000
Villa Luro,12,6,1.0000,2.0000,,3.0000
AUBASA LP-BA,17,2,9.0000,13.0000,4.0000,6.0000
Santa Fe,17,3,,,1.0000,3.0000
El Club,21,4,1.0000,1.0000,,3.0000
San Isidro,17,6,2.0000,1.0000,,5.0000
America,21,4,,,,
Quilmes,17,1,2.0000,,,1.0000
Lima,14,4,2.0000,6.0000,1.0000,7.0000
Bulnes,19,4,,,,6.0000
Arroyo Seco,11,2,5.0000,4.0000,4.0000,8.0000
Ovidio Lagos,1,7,,,,3.0000
Maipu,2,7,1.0000,,,1.0000
Olivos,16,1,3.0000,,,1.0000
