estacion,hora,q_cafes_llevar_algo_leche_sinbakery_sandwiches,q_cafes_llevar_algo_otros_sinbakery_sandwiches,q_cafes_local_algo_leche_sinbakery_sandwiches,q_cafes_local_algo_otros_sinbakery_sandwiches
Cabildo,20,null,5.0000,1.0000,3.0000
Olivos,0,30.0000,2.0000,17.0000,6.0000
Cabildo,3,4.0000,null,1.0000,1.0000
Santa Rita,16,1.0000,19.0000,7.0000,89.0000
Parque Sarmiento,12,26.0000,9.0000,50.0000,38.0000
Las Heras,2,2.0000,3.0000,1.0000,null
Amanecer,23,1.0000,2.0000,null,19.0000
Lima,17,154.0000,182.0000,169.0000,315.0000
Gral Paz Provincia,9,247.0000,127.0000,509.0000,203.0000
Lima,19,188.0000,257.0000,162.0000,329.0000
San Isidro,13,11.0000,15.0000,67.0000,97.0000
Gral Paz Capital,23,28.0000,1.0000,null,48.0000
Santa Rita,19,2.0000,10.0000,18.0000,66.0000
Centenera,12,15.0000,6.0000,59.0000,53.0000
San Isidro,3,4.0000,5.0000,5.0000,4.0000
Florencio Varela,13,14.0000,16.0000,44.0000,54.0000
Amanecer,7,48.0000,20.0000,null,78.0000
DISC Caraffa,9,2.0000,4.0000,26.0000,14.0000
Bonpland,14,26.0000,16.0000,70.0000,87.0000
Villa Luro,11,47.0000,36.0000,146.0000,93.0000
Zarate Brazo Largo,14,26.0000,3.0000,4.0000,35.0000
Maipu,17,7.0000,7.0000,50.0000,67.0000
San Isidro,20,5.0000,13.0000,45.0000,45.0000
Lima,8,119.0000,69.0000,102.0000,104.0000
Gral Paz Capital,15,70.0000,23.0000,null,333.0000
DISC Echeverria,2,null,null,null,null
Santa Fe,15,null,2.0000,1.0000,1.0000
Amanecer,10,40.0000,26.0000,null,74.0000
Bonpland,13,33.0000,20.0000,69.0000,84.0000
El Club,7,133.0000,53.0000,363.0000,149.0000
Pilar,22,null,5.0000,17.0000,20.0000
Parque Sarmiento,16,16.0000,23.0000,49.0000,48.0000
Congreso,1,null,2.0000,2.0000,3.0000
