estacion,hora,dia_semana,q_cafes_local_mas_1
Zarate Brazo Largo,6,5,118.0000
Alvear,18,3,261.0000
Gral Paz Provincia,8,2,303.0000
Alvear,5,4,73.0000
AUBASA BA-LP,10,1,740.0000
La Bandera,10,7,162.0000
Zarate,18,3,11.0000
Alberdi,3,1,
Arroyo Seco,14,1,541.0000
Zarate Brazo Largo,8,2,245.0000
Gutierrez,9,7,186.0000
Las Heras,14,7,32.0000
Dialogos,20,4,36.0000
OPERADOR LOGISTICO 2,17,2,8677.0000
Zarate Brazo Largo,22,1,18.0000
Santa Rita,19,6,73.0000
Centenera,5,6,10.0000
America,17,7,84.0000
Arroyo Seco,10,5,1465.0000
Arroyo Seco,12,2,579.0000
Bonpland,8,1,87.0000
Bonpland,23,2,39.0000
Lima,8,4,1125.0000
Lima,20,3,193.0000
Pilar,7,5,76.0000
Boulevard,17,2,157.0000
Amanecer,11,5,79.0000
Gutierrez,17,1,113.0000
Gral Paz Provincia,8,6,372.0000
Floresta,7,1,35.0000
AUBASA BA-LP,2,4,47.0000
Dialogos,10,7,107.0000
Maipu,2,1,56.0000
Trelles,11,6,41.0000
La Carmela,5,5,53.0000
La Bandera,16,2,140.0000
Alsina,12,5,52.0000
Congreso,11,3,88.0000
Garay,12,3,78.0000
AUBASA BA-LP,5,7,148.0000
San Isidro,2,7,36.0000
Pilar,20,6,40.0000
La Bandera,8,4,166.0000
Alvear,13,5,106.0000
Arroyo Seco,11,2,957.0000
Arroyo Seco,9,7,2662.0000
Pilar,13,7,30.0000
Lima,14,4,257.0000
Lima,9,6,1365.0000
Buen Ayre,18,2,628.0000
Ovidio Lagos,15,2,85.0000
Lima,23,1,170.0000
Zarate,19,5,16.0000
San Isidro,12,3,85.0000
El Arco,6,7,76.0000
Bulnes,19,4,88.0000
America,21,4,28.0000
Quilmes,1,6,37.0000
Buen Ayre,17,5,604.0000
Gral Paz Provincia,15,1,131.0000
Zarate Brazo Largo,14,4,105.0000
