estacion,hora,q_cafes_llevar_mas_1
Santa Rita,16,439.0000
Cabildo,20,17.0000
Olivos,0,143.0000
Amanecer,2,107.0000
Parque Sarmiento,12,208.0000
Lima,17,4191.0000
Lima,19,2941.0000
Gral Paz Provincia,9,2481.0000
Santa Rita,19,329.0000
San Isidro,13,274.0000
Florencio Varela,13,200.0000
Amanecer,7,358.0000
San Isidro,3,92.0000
Gral Paz Capital,23,416.0000
Centenera,12,290.0000
Villa Luro,11,1152.0000
DISC Caraffa,9,332.0000
San Isidro,20,327.0000
Bonpland,14,369.0000
Maipu,17,338.0000
Boulevard,7,464.0000
Zarate Brazo Largo,14,113.0000
Lima,8,6878.0000
Gral Paz Capital,15,1068.0000
Amanecer,10,458.0000
Trelles,4,65.0000
El Club,7,1280.0000
Gral Paz Capital,3,334.0000
Parque Sarmiento,16,344.0000
Cabildo,6,59.0000
La Bandera,19,536.0000
Alsina,6,324.0000
Bonpland,13,359.0000
Pilar,22,138.0000
Ovidio Lagos,16,502.0000
Alvear,15,921.0000
Santa Rita,11,436.0000
Quilmes,2,111.0000
Emilio Castro,8,192.0000
Buen Ayre,11,1724.0000
Maschwitz,20,24.0000
Laferrere,4,99.0000
Dialogos,20,172.0000
Zarate,7,300.0000
Garay,13,219.0000
Santa Rita,7,343.0000
Parque Sarmiento,3,26.0000
Laferrere,18,370.0000
Santa Rita,0,145.0000
Laferrere,19,281.0000
Emilio Castro,18,95.0000
Zarate Brazo Largo,8,525.0000
Zarate Brazo Largo,6,444.0000
AUBASA LP-BA,17,3109.0000
AUBASA LP-BA,21,318.0000
Gutierrez,15,313.0000
Parque Sarmiento,8,434.0000
Arroyo Seco,22,585.0000
Ovidio Lagos,23,147.0000
Luis Viale,20,188.0000
Libertador,7,629.0000
Olivos,6,518.0000
AUBASA BA-LP,5,753.0000
El Club,20,562.0000
Maipu,18,251.0000
Quilmes,9,837.0000
Zarate Brazo Largo,23,74.0000
Arroyo Seco,11,4925.0000
Olivos,14,118.0000
Olivos,20,148.0000
Trelles,11,263.0000
America,1,106.0000
Villa Luro,14,406.0000
Cabildo,19,16.0000
DISC Caraffa,10,333.0000
Gral Paz Provincia,16,1263.0000
Emilio Castro,9,165.0000
El Arco,10,1787.0000
Villa Luro,9,1194.0000
Lima,5,1228.0000
Olivos,1,123.0000
Villa Luro,0,367.0000
Santa Rita,2,97.0000
Las Heras,17,202.0000
Parque Sarmiento,20,99.0000
America,6,199.0000
Gral Paz Provincia,18,1973.0000
Bonpland,12,570.0000
Del Tejar,5,148.0000
Congreso,6,182.0000
AUBASA LP-BA,4,219.0000
AUBASA BA-LP,22,410.0000
Parque Sarmiento,17,484.0000
Olivos,12,159.0000
Lima,14,1455.0000
Centenera,0,18.0000
Laferrere,10,470.0000
Gral Paz Capital,7,1462.0000
America,15,218.0000
Bonpland,22,228.0000
Lima,7,5417.0000
