estacion,hora,q_cafes_llevar_solo,q_cafes_local_solo,q_cafes_llevar_solo_leche,q_cafes_llevar_solo_otros,q_cafes_local_solo_leche,q_cafes_local_solo_otros,q_cafes_llevar_solo_otros_negro,q_cafes_local_solo_otros_negro
Disc Panamericana,16,1.0000,8.0000,null,1.0000,null,8.0000,null,8.0000
Cabildo,20,19.0000,27.0000,9.0000,10.0000,4.0000,23.0000,2.0000,10.0000
Santa Rita,16,24.0000,82.0000,4.0000,20.0000,2.0000,80.0000,2.0000,79.0000
Cabildo,3,20.0000,11.0000,7.0000,13.0000,4.0000,7.0000,3.0000,7.0000
Olivos,0,83.0000,70.0000,72.0000,11.0000,4.0000,66.0000,null,62.0000
Parque Sarmiento,12,31.0000,51.0000,25.0000,6.0000,3.0000,48.0000,5.0000,41.0000
Amanecer,2,22.0000,37.0000,5.0000,17.0000,null,37.0000,3.0000,37.0000
Las Heras,2,33.0000,28.0000,11.0000,22.0000,5.0000,23.0000,8.0000,26.0000
Amanecer,23,16.0000,42.0000,4.0000,12.0000,null,42.0000,4.0000,42.0000
Amanecer,7,176.0000,220.0000,60.0000,116.0000,null,220.0000,66.0000,220.0000
Lima,17,686.0000,471.0000,197.0000,489.0000,41.0000,430.0000,204.0000,353.0000
Gral Paz Provincia,9,309.0000,422.0000,127.0000,182.0000,61.0000,361.0000,56.0000,318.0000
Santa Rita,19,45.0000,77.0000,10.0000,35.0000,5.0000,72.0000,2.0000,72.0000
Centenera,12,29.0000,66.0000,9.0000,20.0000,2.0000,64.0000,12.0000,61.0000
Florencio Varela,13,41.0000,173.0000,12.0000,29.0000,36.0000,137.0000,4.0000,147.0000
Lima,19,511.0000,305.0000,163.0000,348.0000,36.0000,269.0000,148.0000,236.0000
San Isidro,13,84.0000,155.0000,30.0000,54.0000,14.0000,141.0000,13.0000,146.0000
Gral Paz Capital,23,81.0000,118.0000,62.0000,19.0000,null,118.0000,12.0000,118.0000
San Isidro,3,28.0000,13.0000,7.0000,21.0000,3.0000,10.0000,5.0000,10.0000
Zarate Brazo Largo,14,37.0000,65.0000,24.0000,13.0000,1.0000,64.0000,null,65.0000
Boulevard,7,269.0000,132.0000,77.0000,192.0000,17.0000,115.0000,117.0000,110.0000
Villa Luro,11,122.0000,322.0000,37.0000,85.0000,32.0000,290.0000,29.0000,181.0000
Bonpland,14,126.0000,257.0000,57.0000,69.0000,17.0000,240.0000,18.0000,177.0000
Maipu,17,59.0000,219.0000,28.0000,31.0000,9.0000,210.0000,null,201.0000
DISC Caraffa,9,37.0000,41.0000,null,37.0000,3.0000,38.0000,5.0000,26.0000
San Isidro,20,36.0000,87.0000,11.0000,25.0000,5.0000,82.0000,3.0000,70.0000
Gral Paz Capital,15,119.0000,446.0000,61.0000,58.0000,null,446.0000,51.0000,446.0000
Amanecer,10,111.0000,161.0000,41.0000,70.0000,null,161.0000,33.0000,161.0000
Lima,8,521.0000,290.0000,211.0000,310.0000,39.0000,251.0000,125.0000,209.0000
Anchorena,22,null,15.0000,null,null,5.0000,10.0000,null,15.0000
Boulevard,23,null,null,null,null,null,null,null,null
Mitre,20,null,null,null,null,null,null,null,null
Alberdi,1,null,31.0000,null,null,null,31.0000,null,25.0000
