estacion,hora,q_cafes_llevar_algo,q_cafes_local_algo,q_cafes_llevar_algo_leche,q_cafes_llevar_algo_otros,q_cafes_local_algo_leche,q_cafes_local_algo_otros
Olivos,0,255.0000,185.0000,218.0000,37.0000,54.0000,131.0000
Cabildo,3,48.0000,36.0000,23.0000,25.0000,16.0000,20.0000
Cabildo,20,62.0000,66.0000,21.0000,41.0000,16.0000,50.0000
Santa Rita,16,235.0000,806.0000,26.0000,209.0000,35.0000,771.0000
Parque Sarmiento,12,335.0000,704.0000,228.0000,107.0000,148.0000,556.0000
Amanecer,23,87.0000,194.0000,26.0000,61.0000,null,194.0000
Las Heras,2,146.0000,66.0000,99.0000,47.0000,22.0000,44.0000
Amanecer,2,77.0000,125.0000,29.0000,48.0000,null,125.0000
Amanecer,7,1025.0000,1271.0000,547.0000,478.0000,null,1271.0000
Gral Paz Provincia,9,3635.0000,4809.0000,2119.0000,1516.0000,2495.0000,2314.0000
Lima,17,4741.0000,5218.0000,1878.0000,2863.0000,1504.0000,3714.0000
Florencio Varela,13,170.0000,666.0000,81.0000,89.0000,353.0000,313.0000
Lima,19,3727.0000,3776.0000,1586.0000,2141.0000,1251.0000,2525.0000
San Isidro,13,309.0000,736.0000,161.0000,148.0000,211.0000,525.0000
Gral Paz Capital,23,406.0000,525.0000,340.0000,66.0000,null,525.0000
Centenera,12,152.0000,463.0000,76.0000,76.0000,231.0000,232.0000
San Isidro,3,125.0000,159.0000,64.0000,61.0000,58.0000,101.0000
Santa Rita,19,203.0000,592.0000,17.0000,186.0000,65.0000,527.0000
Villa Luro,11,1117.0000,2340.0000,561.0000,556.0000,1008.0000,1332.0000
Bonpland,14,355.0000,990.0000,172.0000,183.0000,258.0000,732.0000
San Isidro,20,174.0000,543.0000,61.0000,113.0000,139.0000,404.0000
Boulevard,7,1207.0000,1401.0000,593.0000,614.0000,506.0000,895.0000
Maipu,17,194.0000,841.0000,104.0000,90.0000,177.0000,664.0000
DISC Caraffa,9,293.0000,727.0000,42.0000,251.0000,282.0000,445.0000
Zarate Brazo Largo,14,149.0000,211.0000,126.0000,23.0000,6.0000,205.0000
Lima,8,5841.0000,8420.0000,3441.0000,2400.0000,4384.0000,4036.0000
Amanecer,10,764.0000,1242.0000,358.0000,406.0000,null,1242.0000
Gral Paz Capital,15,757.0000,1663.0000,486.0000,271.0000,null,1663.0000
Santa Fe,15,83.0000,41.0000,34.0000,49.0000,9.0000,32.0000
Boulevard,23,null,null,null,null,null,null
Anchorena,22,null,null,null,null,null,null
DISC Echeverria,2,null,42.0000,null,null,null,42.0000
Alberdi,1,null,30.0000,null,null,null,30.0000
Mitre,20,null,null,null,null,null,null
Trelles,4,128.0000,99.0000,85.0000,43.0000,48.0000,51.0000
Centenera,4,81.0000,52.0000,49.0000,32.0000,21.0000,31.0000
Gral Paz Capital,3,915.0000,467.0000,789.0000,126.0000,null,467.0000
Bonpland,13,360.0000,1131.0000,193.0000,167.0000,389.0000,742.0000
El Club,7,1885.0000,3443.0000,1160.0000,725.0000,1841.0000,1602.0000
Pilar,22,149.0000,175.0000,36.0000,113.0000,67.0000,108.0000
La Bandera,19,173.0000,879.0000,127.0000,46.0000,139.0000,740.0000
Rosario Sur,8,null,null,null,null,null,null
Congreso,1,139.0000,123.0000,32.0000,107.0000,31.0000,92.0000
Parque Sarmiento,16,477.0000,973.0000,147.0000,330.0000,193.0000,780.0000
Alsina,6,669.0000,903.0000,244.0000,425.0000,400.0000,503.0000
Cabildo,6,227.0000,170.0000,147.0000,80.0000,113.0000,57.0000
Ovidio Lagos,16,209.0000,903.0000,69.0000,140.0000,106.0000,797.0000
Emilio Castro,8,1029.0000,767.0000,529.0000,500.0000,317.0000,450.0000
Alvear,15,428.0000,1999.0000,178.0000,250.0000,630.0000,1369.0000
Santa Rita,11,311.0000,849.0000,36.0000,275.0000,73.0000,776.0000
Zarate,14,183.0000,144.0000,112.0000,71.0000,63.0000,81.0000
Quilmes,2,129.0000,148.0000,54.0000,75.0000,45.0000,103.0000
Buen Ayre,2,261.0000,284.0000,112.0000,149.0000,88.0000,196.0000
Dialogos,20,196.0000,272.0000,130.0000,66.0000,115.0000,157.0000
Maipu,7,477.0000,734.0000,281.0000,196.0000,248.0000,486.0000
Maschwitz,20,null,51.0000,null,null,null,51.0000
Centenera,19,83.0000,167.0000,39.0000,44.0000,80.0000,87.0000
Cabildo,10,308.0000,292.0000,214.0000,94.0000,129.0000,163.0000
Laferrere,4,200.0000,190.0000,90.0000,110.0000,93.0000,97.0000
Olivos,22,136.0000,172.0000,126.0000,10.0000,59.0000,113.0000
Buen Ayre,11,1430.0000,2802.0000,843.0000,587.0000,1199.0000,1603.0000
Maipu,0,111.0000,252.0000,67.0000,44.0000,40.0000,212.0000
Garay,13,288.0000,663.0000,146.0000,142.0000,140.0000,523.0000
Parque Sarmiento,3,161.0000,41.0000,153.0000,8.0000,5.0000,36.0000
